Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.637,5.693
2,Rice,2.556,5.586
3,Rice,2.752,5.57
4,Rice,2.701,5.749
5,Rice,2.611,5.695
6,Rice,2.668,5.669
7,Rice,2.566,5.386
8,Rice,2.551,5.812
9,Rice,2.605,5.688
10,Rice,2.624,5.473
11,Rice,2.447,5.788
12,Rice,2.459,5.147
13,Rice,2.533,5.658
14,Rice,2.498,5.651
15,Rice,2.518,5.656
16,Rice,2.595,5.826
17,Rice,2.458,5.52
18,Rice,2.531,5.821
19,Rice,2.637,5.551
1,Break,2.647,4.386
20,Rice,2.48,5.873
21,Rice,2.495,5.776
22,Rice,2.434,5.779
23,Rice,2.507,5.732
24,Rice,2.477,5.08
25,Rice,2.561,6.054
26,Rice,2.281,5.671
27,Rice,2.516,5.671
28,Rice,2.561,5.715
29,Rice,2.584,5.748
30,Rice,2.519,5.94
