Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.537,6.245
2,Rice,2.441,6.172
3,Rice,2.594,6.691
4,Rice,2.518,6.352
5,Rice,2.569,6.317
6,Rice,2.466,6.027
7,Rice,2.152,6.206
8,Rice,2.57,6.38
9,Rice,2.466,6.193
10,Rice,2.465,6.072
11,Rice,2.147,6.224
12,Rice,2.452,6.273
13,Rice,2.301,6.618
14,Rice,2.499,6.438
15,Rice,2.5,5.924
16,Rice,2.469,6.412
17,Rice,2.638,6.145
18,Rice,2.491,5.999
19,Rice,2.571,6.711
20,Rice,2.397,6.174
21,Rice,2.459,6.117
22,Rice,2.424,6.212
23,Rice,2.413,6.48
24,Rice,2.502,5.863
25,Rice,2.557,6.441
26,Rice,2.546,5.841
27,Rice,2.366,6.223
28,Rice,2.498,5.927
29,Rice,2.554,6.113
30,Rice,2.434,5.482
31,Rice,2.425,6.053
32,Rice,2.362,6.306
33,Rice,2.53,5.997
34,Rice,2.525,6.374
35,Rice,2.15,6.172
36,Rice,2.206,5.358
37,Rice,2.348,5.866
38,Rice,2.315,5.978
39,Rice,2.561,5.563
40,Rice,2.346,6.224
41,Rice,2.418,5.704
1,Inferior,2.283,5.585
