Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.455,6.773
2,Rice,2.443,6.405
3,Rice,2.509,6.856
4,Rice,2.495,6.835
5,Rice,2.448,6.451
6,Rice,2.423,6.474
7,Rice,2.365,6.879
8,Rice,2.425,6.541
9,Rice,2.259,6.592
10,Rice,2.477,6.72
11,Rice,2.523,6.711
12,Rice,2.465,6.577
13,Rice,2.402,6.527
14,Rice,2.404,6.481
15,Rice,2.476,6.545
16,Rice,2.419,6.499
17,Rice,2.441,6.718
18,Rice,2.389,6.502
19,Rice,2.476,6.797
20,Rice,2.371,6.519
21,Rice,2.376,6.079
22,Rice,2.37,6.499
23,Rice,2.453,6.513
24,Rice,2.419,6.42
25,Rice,2.51,6.595
26,Rice,2.434,6.773
27,Rice,2.407,5.958
28,Rice,2.445,6.576
29,Rice,2.296,6.539
30,Rice,2.445,6.379
