Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.266,6.861
2,Rice,2.355,7.24
3,Rice,2.275,6.583
4,Rice,2.293,7.264
5,Rice,2.206,6.903
6,Rice,2.14,6.854
7,Rice,2.29,7.099
8,Rice,2.262,6.995
9,Rice,2.393,7.174
10,Rice,2.449,6.847
11,Rice,2.381,6.899
12,Rice,2.215,7.536
13,Rice,2.306,7.031
14,Rice,2.325,7.314
15,Rice,2.17,7.018
16,Rice,2.29,6.952
17,Rice,2.463,7.032
18,Rice,2.279,7.016
19,Rice,2.261,7.136
20,Rice,2.175,6.869
21,Rice,2.243,7.413
1,Inferior,2.383,6.531
2,Inferior,2.295,7.144
22,Rice,2.449,6.343
3,Inferior,2.165,7.234
4,Inferior,2.244,6.456
23,Rice,2.111,7.118
24,Rice,2.311,6.114
5,Inferior,2.314,6.122
