Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.264,6.638
2,Rice,2.267,6.68
3,Rice,2.373,6.723
4,Rice,2.456,6.256
5,Rice,2.197,6.332
6,Rice,2.308,6.516
7,Rice,2.388,6.688
8,Rice,2.218,6.506
9,Rice,2.314,6.603
10,Rice,2.311,6.525
11,Rice,2.298,6.454
12,Rice,2.304,6.733
13,Rice,2.286,6.406
14,Rice,2.209,6.457
15,Rice,2.367,6.279
16,Rice,2.286,6.456
17,Rice,2.37,6.314
18,Rice,2.161,6.058
19,Rice,2.219,6.724
20,Rice,2.335,6.687
21,Rice,2.174,6.549
22,Rice,2.081,6.521
23,Rice,2.267,6.606
24,Rice,2.33,6.386
25,Rice,2.254,6.166
26,Rice,2.234,6.734
27,Rice,2.271,6.329
28,Rice,2.244,6.921
29,Rice,2.168,6.477
30,Rice,2.297,6.464
1,Inferior,2.111,5.901
31,Rice,2.343,6.444
32,Rice,2.184,6.688
33,Rice,2.336,6.249
34,Rice,2.221,6.526
