Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.818,6.263
2,Rice,2.614,6.037
3,Rice,2.688,5.968
4,Rice,2.932,5.881
5,Rice,2.774,5.901
6,Rice,2.734,5.974
7,Rice,2.714,6.083
8,Rice,2.591,6.185
9,Rice,2.631,5.694
10,Rice,2.728,6.232
11,Rice,2.544,6.113
12,Rice,2.563,6.041
13,Rice,2.709,6.002
14,Rice,2.737,6.217
15,Rice,2.719,6.076
16,Rice,2.685,5.914
17,Rice,2.721,6.312
18,Rice,2.625,5.927
19,Rice,2.673,5.908
20,Rice,2.688,5.884
21,Rice,2.686,5.769
22,Rice,2.584,5.947
23,Rice,2.477,5.906
24,Rice,2.688,6.057
25,Rice,2.529,5.538
26,Rice,2.612,5.93
27,Rice,2.405,5.774
28,Rice,2.719,5.948
29,Rice,2.49,5.674
30,Rice,2.622,5.916
31,Rice,2.664,6.002
32,Rice,2.606,6.172
33,Rice,2.649,5.747
34,Rice,2.767,5.968
35,Rice,2.343,5.876
36,Rice,2.485,5.755
37,Rice,2.477,5.884
38,Rice,2.661,5.881
39,Rice,2.588,6.126
40,Rice,2.364,5.634
41,Rice,2.611,6.026
42,Rice,2.515,5.691
43,Rice,2.709,6.265
44,Rice,2.467,6.372
45,Rice,2.349,5.651
46,Rice,2.236,5.388
47,Rice,2.503,5.719
1,Inferior,2.138,5.546
1,Rice,2.212,6.247
2,Rice,2.337,5.846
3,Rice,2.36,5.761
4,Rice,2.443,6.097
5,Rice,2.265,6.011
6,Rice,2.158,6.029
7,Rice,2.357,5.778
8,Rice,2.432,6.049
9,Rice,2.392,5.99
10,Rice,2.318,5.899
11,Rice,2.397,5.828
12,Rice,2.33,5.84
13,Rice,2.243,6.139
14,Rice,2.201,5.725
15,Rice,2.372,6.067
16,Rice,2.252,6.018
17,Rice,2.221,6.012
18,Rice,2.355,6.153
19,Rice,2.207,5.704
20,Rice,2.292,5.946
21,Rice,2.303,6.045
22,Rice,2.249,6.177
23,Rice,2.295,5.99
24,Rice,2.364,6.023
25,Rice,2.287,6.007
26,Rice,2.346,6.304
27,Rice,2.132,5.963
28,Rice,2.074,6.449
29,Rice,2.27,6.111
30,Rice,2.224,6.298
31,Rice,2.243,6.139
32,Rice,2.152,5.561
33,Rice,2.2,5.972
34,Rice,2.152,6.078
35,Rice,2.311,6.005
36,Rice,2.223,5.565
1,Rice,2.756,5.736
2,Rice,2.888,6.202
3,Rice,2.602,5.617
4,Rice,2.795,6.171
5,Rice,2.764,6.256
6,Rice,2.776,5.898
7,Rice,2.896,5.981
8,Rice,2.891,6.301
9,Rice,2.759,6.113
10,Rice,2.731,6.167
11,Rice,2.83,5.929
12,Rice,2.801,6.102
13,Rice,2.675,5.878
14,Rice,2.818,5.974
15,Rice,2.709,6.002
16,Rice,2.901,5.986
17,Rice,2.836,6.308
18,Rice,2.81,6.124
19,Rice,2.618,5.768
20,Rice,2.952,5.75
21,Rice,2.901,6.052
22,Rice,2.714,5.931
23,Rice,2.752,5.863
24,Rice,2.733,5.993
25,Rice,2.861,5.932
26,Rice,2.804,6.051
27,Rice,2.775,6.063
28,Rice,2.683,5.954
29,Rice,2.626,6.094
30,Rice,2.622,5.979
1,Break,2.201,4.276
31,Rice,2.768,5.792
32,Rice,2.838,5.947
1,Rice,2.637,5.693
2,Rice,2.556,5.586
3,Rice,2.752,5.57
4,Rice,2.701,5.749
5,Rice,2.611,5.695
6,Rice,2.668,5.669
7,Rice,2.566,5.386
8,Rice,2.551,5.812
9,Rice,2.605,5.688
10,Rice,2.624,5.473
11,Rice,2.447,5.788
