Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.426,5.988
2,Rice,2.476,6.079
3,Rice,2.571,6.176
4,Rice,2.464,5.689
5,Rice,2.512,5.714
6,Rice,2.444,5.317
7,Rice,2.457,5.881
8,Rice,2.557,5.976
9,Rice,2.529,5.837
10,Rice,2.306,5.39
11,Rice,2.524,5.58
12,Rice,2.299,5.751
13,Rice,2.428,6.02
14,Rice,2.426,6.027
15,Rice,2.625,5.567
16,Rice,2.598,5.784
17,Rice,2.603,5.821
18,Rice,2.394,5.601
19,Rice,2.26,5.896
20,Rice,2.537,6.058
21,Rice,2.538,6.037
22,Rice,2.275,5.343
23,Rice,2.505,5.752
24,Rice,2.548,6.131
25,Rice,2.28,5.618
26,Rice,2.239,5.596
27,Rice,2.22,5.782
28,Rice,2.518,5.973
29,Rice,2.443,5.857
30,Rice,2.427,5.652
31,Rice,2.477,6.075
32,Rice,2.473,6.298
33,Rice,2.355,5.848
34,Rice,2.365,5.993
35,Rice,2.371,5.975
36,Rice,2.455,4.953
1,Break,2.401,5.292
1,Rice,2.525,6.173
2,Rice,2.59,6.018
3,Rice,2.504,5.828
4,Rice,2.52,6.227
5,Rice,2.524,6.02
6,Rice,2.611,6.101
7,Rice,2.526,5.889
8,Rice,2.654,5.888
9,Rice,2.481,6.003
10,Rice,2.562,6.059
11,Rice,2.502,5.754
12,Rice,2.618,6.35
13,Rice,2.577,5.802
14,Rice,2.471,5.679
15,Rice,2.396,5.695
16,Rice,2.494,5.905
17,Rice,2.707,6.092
18,Rice,2.626,5.804
19,Rice,2.476,5.863
20,Rice,2.641,6.088
21,Rice,2.451,5.899
22,Rice,2.571,5.817
23,Rice,2.552,5.947
24,Rice,2.631,6.15
25,Rice,2.521,5.721
26,Rice,2.688,5.532
27,Rice,2.522,5.825
28,Rice,2.5,6.058
29,Rice,2.519,6.054
30,Rice,2.495,5.965
31,Rice,2.579,5.594
32,Rice,2.589,5.697
33,Rice,2.519,5.779
1,Inferior,2.476,5.455
34,Rice,2.586,6.038
1,Rice,2.434,5.99
2,Rice,2.493,6.606
3,Rice,2.527,6.273
4,Rice,2.365,6.271
5,Rice,2.514,6.032
6,Rice,2.497,6.106
7,Rice,2.594,6.56
8,Rice,2.498,6.09
9,Rice,2.563,6.424
10,Rice,2.563,6.46
11,Rice,2.452,6.367
12,Rice,2.54,6.329
13,Rice,2.535,6.555
14,Rice,2.554,6.204
15,Rice,2.456,6.362
16,Rice,2.487,6.56
17,Rice,2.603,6.578
18,Rice,2.538,6.183
19,Rice,2.48,6.265
20,Rice,2.642,6.425
21,Rice,2.559,6.334
22,Rice,2.703,5.997
23,Rice,2.528,6.21
24,Rice,2.436,6.264
25,Rice,2.433,6.124
26,Rice,2.543,6.139
27,Rice,2.511,6.286
28,Rice,2.453,6.185
29,Rice,2.533,6.213
30,Rice,2.455,6.101
31,Rice,2.455,6.21
32,Rice,2.54,6.011
33,Rice,2.536,6.314
34,Rice,2.636,6.597
35,Rice,2.456,5.971
36,Rice,2.423,5.986
37,Rice,2.546,6.351
38,Rice,2.419,6.321
39,Rice,2.241,5.915
40,Rice,2.355,5.711
41,Rice,2.477,6.287
42,Rice,2.546,6.417
43,Rice,2.385,6.288
44,Rice,2.464,6.305
45,Rice,2.555,6.026
46,Rice,2.313,5.952
47,Rice,2.617,6.402
48,Rice,2.466,6.132
49,Rice,2.523,6.36
50,Rice,2.5,6.45
51,Rice,2.244,6.265
52,Rice,2.144,5.702
1,Break,2.524,4.821
53,Rice,2.54,5.989
54,Rice,2.588,5.309
55,Rice,2.381,4.987
1,Rice,2.384,6.121
2,Rice,2.417,5.991
3,Rice,2.486,5.789
4,Rice,2.304,6.086
5,Rice,2.311,6.158
6,Rice,2.387,5.987
7,Rice,2.459,6.199
8,Rice,2.471,5.864
9,Rice,2.675,6.358
10,Rice,2.441,6.112
11,Rice,2.431,6.054
12,Rice,2.428,6.003
13,Rice,2.262,5.931
14,Rice,2.215,6.211
15,Rice,2.335,5.589
16,Rice,2.34,5.658
17,Rice,2.44,6.734
18,Rice,2.587,6.403
19,Rice,2.454,6.431
20,Rice,2.392,6.032
21,Rice,2.469,6.335
22,Rice,2.192,5.616
23,Rice,2.377,5.944
24,Rice,2.365,5.715
25,Rice,2.32,5.847
26,Rice,2.49,5.877
27,Rice,2.477,6.35
28,Rice,1.94,5.54
29,Rice,2.43,6.347
1,Inferior,2.267,5.878
2,Inferior,2.272,5.684
30,Rice,2.477,6.519
31,Rice,2.477,6.229
3,Inferior,2.413,6.106
32,Rice,2.407,6.24
33,Rice,2.457,5.594
1,Rice,2.518,6.011
2,Rice,2.187,6.134
3,Rice,2.529,5.779
4,Rice,2.327,5.805
5,Rice,2.518,6.075
6,Rice,2.571,6.202
7,Rice,2.387,5.696
8,Rice,2.397,6.072
9,Rice,2.541,5.984
10,Rice,2.38,5.687
11,Rice,2.525,6.083
12,Rice,2.54,6.138
13,Rice,2.41,6.316
14,Rice,2.546,6.151
15,Rice,2.485,6.346
16,Rice,2.493,6.396
17,Rice,2.47,6.292
18,Rice,2.319,5.727
19,Rice,2.625,6.308
20,Rice,2.378,5.913
21,Rice,2.514,6.187
22,Rice,2.417,6.064
23,Rice,2.434,6.576
24,Rice,2.519,6.177
25,Rice,2.262,5.643
26,Rice,2.386,5.946
27,Rice,2.478,5.858
28,Rice,2.5,5.852
29,Rice,2.308,5.624
30,Rice,2.241,5.82
31,Rice,2.502,5.459
32,Rice,2.394,5.436
33,Rice,2.265,5.348
1,Inferior,2.265,5.893
34,Rice,2.349,4.276
1,Rice,2.553,6.494
2,Rice,2.466,6.234
3,Rice,2.56,6.001
4,Rice,2.575,5.973
5,Rice,2.577,6.203
6,Rice,2.501,5.917
7,Rice,2.545,6.305
8,Rice,2.559,6.386
9,Rice,2.526,6.243
10,Rice,2.406,6.096
11,Rice,2.243,6.208
12,Rice,2.212,6.237
13,Rice,2.603,6.634
14,Rice,2.468,6.255
15,Rice,2.407,5.65
16,Rice,2.533,5.936
17,Rice,2.366,6.024
18,Rice,2.298,5.82
19,Rice,2.572,6.102
20,Rice,2.465,6.293
21,Rice,2.498,6.62
22,Rice,2.663,6.431
23,Rice,2.353,6.297
24,Rice,2.619,5.989
25,Rice,2.586,6.325
26,Rice,2.553,6.336
27,Rice,2.636,6.232
28,Rice,2.413,6.287
29,Rice,2.582,6.498
30,Rice,2.56,6.483
31,Rice,2.54,6.498
32,Rice,2.444,6.188
33,Rice,2.63,6.001
34,Rice,2.628,6.243
35,Rice,2.554,6.2
36,Rice,2.435,5.854
37,Rice,2.474,5.98
38,Rice,2.543,6.138
39,Rice,2.52,6.167
40,Rice,2.251,5.585
1,Rice,2.537,6.245
2,Rice,2.441,6.172
3,Rice,2.594,6.691
4,Rice,2.518,6.352
5,Rice,2.569,6.317
6,Rice,2.466,6.027
7,Rice,2.152,6.206
8,Rice,2.57,6.38
9,Rice,2.466,6.193
10,Rice,2.465,6.072
11,Rice,2.147,6.224
12,Rice,2.452,6.273
13,Rice,2.301,6.618
14,Rice,2.499,6.438
15,Rice,2.5,5.924
16,Rice,2.469,6.412
17,Rice,2.638,6.145
18,Rice,2.491,5.999
19,Rice,2.571,6.711
20,Rice,2.397,6.174
21,Rice,2.459,6.117
22,Rice,2.424,6.212
23,Rice,2.413,6.48
24,Rice,2.502,5.863
25,Rice,2.557,6.441
26,Rice,2.546,5.841
27,Rice,2.366,6.223
28,Rice,2.498,5.927
29,Rice,2.554,6.113
30,Rice,2.434,5.482
31,Rice,2.425,6.053
32,Rice,2.362,6.306
33,Rice,2.53,5.997
34,Rice,2.525,6.374
35,Rice,2.15,6.172
36,Rice,2.206,5.358
37,Rice,2.348,5.866
38,Rice,2.315,5.978
39,Rice,2.561,5.563
40,Rice,2.346,6.224
41,Rice,2.418,5.704
1,Inferior,2.283,5.585
1,Rice,2.539,6.63
2,Rice,2.47,6.526
3,Rice,2.631,6.657
4,Rice,2.524,6.509
5,Rice,2.531,6.081
6,Rice,2.474,6.518
7,Rice,2.405,6.403
8,Rice,2.451,6.16
9,Rice,2.532,6.5
10,Rice,2.604,6.69
11,Rice,2.605,6.663
12,Rice,2.579,6.538
13,Rice,2.433,6.612
14,Rice,2.536,6.458
15,Rice,2.383,6.401
16,Rice,2.606,6.313
17,Rice,2.438,6.763
18,Rice,2.586,6.805
19,Rice,2.542,6.269
20,Rice,2.61,6.393
21,Rice,2.408,6.347
22,Rice,2.583,6.585
23,Rice,2.519,6.795
1,Rice,2.268,6.217
2,Rice,2.417,6.204
3,Rice,2.511,6.048
4,Rice,2.441,6.016
5,Rice,2.522,5.928
6,Rice,2.287,6.053
7,Rice,2.428,6.396
8,Rice,2.361,6.111
9,Rice,2.366,5.917
10,Rice,2.61,5.895
11,Rice,2.301,6.18
12,Rice,2.336,5.373
13,Rice,2.391,6.076
14,Rice,2.267,6.197
15,Rice,2.359,5.577
16,Rice,2.39,6.05
17,Rice,2.371,5.964
18,Rice,2.392,6.308
19,Rice,2.392,6.238
20,Rice,2.401,5.786
21,Rice,2.289,5.957
22,Rice,2.478,6.323
23,Rice,2.338,5.623
24,Rice,2.333,5.973
25,Rice,2.518,6.191
26,Rice,2.322,5.637
27,Rice,2.407,6.533
28,Rice,2.424,6.188
29,Rice,2.42,6.324
1,Break,2.155,2.604
30,Rice,2.201,5.609
31,Rice,2.131,6.105
32,Rice,1.89,5.222
33,Rice,2.261,5.158
34,Rice,2.345,6.01
35,Rice,2.247,5.961
36,Rice,2.369,5.991
37,Rice,2.556,5.903
38,Rice,2.326,6.022
39,Rice,1.995,5.989
40,Rice,2.23,6.27
41,Rice,2.355,6.139
1,Rice,2.813,6.114
2,Rice,2.436,6.292
3,Rice,2.735,6.095
4,Rice,2.607,6.302
5,Rice,2.758,6.198
6,Rice,2.599,6.261
7,Rice,2.563,5.585
8,Rice,2.519,5.55
9,Rice,2.648,5.869
10,Rice,2.658,6.034
11,Rice,2.611,5.753
12,Rice,2.818,6.125
13,Rice,2.799,5.702
14,Rice,2.582,5.845
15,Rice,2.617,6.024
16,Rice,2.751,6.285
17,Rice,2.563,5.862
18,Rice,2.658,5.899
19,Rice,2.394,5.726
20,Rice,2.579,6.238
21,Rice,2.578,6.42
22,Rice,2.255,6.187
23,Rice,2.721,6.104
24,Rice,2.676,5.314
25,Rice,2.617,5.352
26,Rice,2.594,6.224
27,Rice,2.585,6.006
28,Rice,2.764,5.924
29,Rice,2.828,6.38
30,Rice,2.559,6.442
31,Rice,2.583,6.431
1,Break,2.582,5.99
