Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.361,6.828
2,Rice,2.021,7.231
3,Rice,2.29,7.194
4,Rice,2.252,7.064
5,Rice,2.127,6.49
6,Rice,2.017,6.897
7,Rice,2.134,7.205
8,Rice,2.364,7.233
9,Rice,2.286,7.303
10,Rice,2.298,7.345
11,Rice,2.111,7.036
12,Rice,2.223,6.796
13,Rice,2.275,6.922
14,Rice,2.29,6.704
15,Rice,2.228,6.82
16,Rice,2.067,7.229
17,Rice,2.301,7.032
18,Rice,2.138,6.48
19,Rice,2.205,7.135
20,Rice,2.111,7.054
21,Rice,2.319,6.901
22,Rice,2.143,6.84
23,Rice,2.323,7.301
24,Rice,2.057,6.743
1,Inferior,2.305,6.701
25,Rice,2.195,6.73
2,Inferior,2.098,6.818
1,Rice,2.266,6.861
2,Rice,2.355,7.24
3,Rice,2.275,6.583
4,Rice,2.293,7.264
5,Rice,2.206,6.903
6,Rice,2.14,6.854
7,Rice,2.29,7.099
8,Rice,2.262,6.995
9,Rice,2.393,7.174
10,Rice,2.449,6.847
11,Rice,2.381,6.899
12,Rice,2.215,7.536
13,Rice,2.306,7.031
14,Rice,2.325,7.314
15,Rice,2.17,7.018
16,Rice,2.29,6.952
17,Rice,2.463,7.032
18,Rice,2.279,7.016
19,Rice,2.261,7.136
20,Rice,2.175,6.869
21,Rice,2.243,7.413
1,Inferior,2.383,6.531
2,Inferior,2.295,7.144
22,Rice,2.449,6.343
3,Inferior,2.165,7.234
4,Inferior,2.244,6.456
23,Rice,2.111,7.118
24,Rice,2.311,6.114
5,Inferior,2.314,6.122
1,Rice,2.329,7.03
2,Rice,2.39,7.292
3,Rice,2.362,6.725
4,Rice,2.344,7.049
5,Rice,2.384,7.074
6,Rice,2.345,7.665
7,Rice,2.366,7.243
8,Rice,2.13,7.052
9,Rice,2.386,7.237
10,Rice,2.262,7.426
11,Rice,2.305,7.167
12,Rice,2.315,7.189
13,Rice,2.436,6.945
14,Rice,2.36,7.09
15,Rice,2.335,6.974
16,Rice,2.193,7.441
17,Rice,2.338,7.232
18,Rice,2.413,7.059
19,Rice,2.09,7.653
20,Rice,2.306,7.238
21,Rice,2.168,7.503
22,Rice,2.289,7.416
23,Rice,2.307,7.493
24,Rice,2.414,7.147
1,Inferior,2.047,6.587
25,Rice,2.298,7.298
1,Break,2.358,5.722
26,Rice,2.111,7.338
2,Break,2.267,6.039
3,Break,2.374,5.752
4,Break,2.12,5.532
27,Rice,2.187,6.5
5,Break,2.39,5.725
1,Rice,2.432,7.149
2,Rice,2.305,6.863
3,Rice,2.355,6.869
4,Rice,2.174,7.021
5,Rice,2.439,6.546
6,Rice,2.305,6.908
7,Rice,2.255,6.951
8,Rice,2.32,6.437
9,Rice,2.327,6.894
10,Rice,2.43,7.07
11,Rice,2.279,7.316
12,Rice,2.243,6.586
13,Rice,2.343,7.553
14,Rice,2.401,6.847
15,Rice,2.405,6.912
16,Rice,2.336,7.073
17,Rice,2.219,7.058
18,Rice,2.317,7.002
19,Rice,2.382,7.269
20,Rice,2.29,6.804
21,Rice,2.292,7.236
22,Rice,2.4,6.731
23,Rice,2.371,6.702
24,Rice,2.158,7.11
25,Rice,2.218,6.598
26,Rice,2.399,6.549
27,Rice,2.326,7.164
28,Rice,2.3,6.56
29,Rice,2.246,6.943
30,Rice,2.413,6.835
31,Rice,2.323,7.217
32,Rice,2.305,7.052
33,Rice,2.368,6.914
34,Rice,2.282,7.344
35,Rice,2.027,6.846
36,Rice,2.309,6.976
37,Rice,2.348,7.033
38,Rice,2.417,6.979
39,Rice,2.295,6.673
40,Rice,2.302,7.117
41,Rice,2.285,6.755
42,Rice,2.29,6.901
43,Rice,2.177,6.943
44,Rice,2.188,6.478
45,Rice,2.132,7.28
1,Inferior,2.228,7.011
46,Rice,2.291,6.909
47,Rice,2.122,7.448
48,Rice,2.045,7.281
1,Rice,2.244,7.058
2,Rice,2.278,6.772
3,Rice,2.339,6.846
4,Rice,2.237,7.445
5,Rice,2.238,6.818
6,Rice,2.254,7.025
7,Rice,2.053,7.349
8,Rice,2.112,7.414
9,Rice,2.38,6.78
10,Rice,2.351,7.029
11,Rice,2.137,7.185
12,Rice,2.26,6.776
13,Rice,2.234,7.166
14,Rice,2.201,6.601
15,Rice,2.26,7.137
16,Rice,2.232,7.149
1,Inferior,2.269,7.398
2,Inferior,2.252,7.01
3,Inferior,1.897,6.636
17,Rice,2.236,6.926
18,Rice,2.159,6.863
19,Rice,2.313,7.224
20,Rice,2.228,6.614
