Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.27,7.641
2,Rice,2.282,7.484
3,Rice,2.008,7.552
4,Rice,2.239,7.14
5,Rice,2.252,7.582
6,Rice,2.266,7.43
7,Rice,2.28,7.686
8,Rice,2.3,7.458
9,Rice,2.24,7.303
10,Rice,2.331,7.086
11,Rice,2.392,7.25
12,Rice,2.246,7.594
13,Rice,2.308,7.26
14,Rice,2.19,7.614
15,Rice,2.049,7.463
16,Rice,2.261,7.878
17,Rice,2.227,7.276
18,Rice,2.287,7.708
19,Rice,2.286,7.665
20,Rice,2.353,7.054
21,Rice,1.97,7.355
22,Rice,2.381,7.389
23,Rice,2.319,7.658
24,Rice,2.359,7.273
25,Rice,2.164,7.782
26,Rice,2.287,7.256
27,Rice,2.074,7.683
28,Rice,2.413,7.578
29,Rice,2.387,7.376
30,Rice,2.384,7.757
31,Rice,2.226,7.226
32,Rice,2.286,7.556
33,Rice,2.255,7.62
34,Rice,1.897,6.521
35,Rice,2.019,7.742
36,Rice,2.39,7.308
37,Rice,2.17,7.643
38,Rice,2.376,7.469
39,Rice,2.285,7.959
40,Rice,2.371,7.345
41,Rice,2.392,6.985
42,Rice,2.117,7.218
43,Rice,2.032,7.091
44,Rice,2.22,7.606
45,Rice,2.279,7.186
46,Rice,2.325,7.449
47,Rice,2.269,7.721
1,Rice,2.206,7.582
2,Rice,2.147,7.022
3,Rice,2.178,7.249
4,Rice,2.043,7.174
5,Rice,2.0,6.765
6,Rice,2.18,7.46
7,Rice,2.234,7.006
8,Rice,2.099,6.937
9,Rice,1.973,6.644
10,Rice,2.106,7.471
11,Rice,2.086,7.25
12,Rice,2.137,6.889
13,Rice,2.186,7.412
14,Rice,2.194,7.628
15,Rice,2.06,7.083
16,Rice,2.212,7.512
17,Rice,2.074,7.175
18,Rice,1.97,6.896
19,Rice,2.095,6.921
20,Rice,2.224,7.015
21,Rice,1.875,7.496
22,Rice,2.082,7.262
23,Rice,2.131,7.273
24,Rice,1.94,7.075
25,Rice,2.057,7.037
26,Rice,2.019,6.931
27,Rice,1.989,7.238
28,Rice,1.875,7.375
29,Rice,1.905,6.667
30,Rice,1.944,6.934
31,Rice,2.161,6.732
1,Rice,2.269,7.485
2,Rice,2.26,7.363
3,Rice,2.859,7.364
1,Break,2.186,3.041
4,Rice,2.304,7.246
5,Rice,2.248,7.542
6,Rice,2.264,7.201
7,Rice,2.2,7.588
8,Rice,2.387,7.267
9,Rice,2.214,7.379
10,Rice,2.174,7.615
11,Rice,2.297,7.168
12,Rice,2.299,7.503
13,Rice,2.357,7.492
14,Rice,2.296,7.207
15,Rice,2.243,7.631
16,Rice,1.958,6.679
17,Rice,2.32,7.266
18,Rice,2.379,7.48
19,Rice,2.245,7.162
20,Rice,2.348,7.537
21,Rice,2.227,7.262
22,Rice,2.242,7.747
23,Rice,2.248,7.727
24,Rice,2.367,7.265
25,Rice,2.3,7.369
26,Rice,2.386,7.304
27,Rice,2.043,7.569
28,Rice,2.138,7.65
29,Rice,2.241,7.53
30,Rice,2.36,7.308
31,Rice,1.968,7.366
32,Rice,2.279,7.346
33,Rice,2.268,7.48
34,Rice,2.325,7.555
35,Rice,2.095,7.831
2,Break,2.211,4.574
36,Rice,2.333,7.478
37,Rice,2.269,7.386
38,Rice,2.29,7.585
39,Rice,2.325,7.618
40,Rice,2.027,7.311
41,Rice,2.201,7.175
42,Rice,2.313,7.25
43,Rice,2.11,7.636
44,Rice,2.234,7.35
45,Rice,2.14,7.207
46,Rice,2.231,7.839
3,Break,1.333,2.542
47,Rice,2.347,7.245
1,Rice,2.131,7.236
2,Rice,2.19,7.238
3,Rice,1.943,6.993
4,Rice,2.086,7.273
5,Rice,2.12,7.386
6,Rice,2.196,7.092
7,Rice,1.879,6.467
8,Rice,2.178,7.245
9,Rice,2.03,7.058
10,Rice,2.065,6.798
11,Rice,2.101,7.161
12,Rice,2.259,6.746
13,Rice,2.133,6.997
14,Rice,2.086,7.029
1,Inferior,1.72,6.701
15,Rice,2.179,6.99
16,Rice,2.27,6.406
17,Rice,2.171,6.387
18,Rice,2.116,6.879
19,Rice,2.052,6.869
2,Inferior,2.091,5.494
20,Rice,2.095,5.503
1,Rice,2.31,7.275
2,Rice,2.336,7.627
