Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.292,6.068
2,Rice,2.214,5.921
3,Rice,2.149,6.102
4,Rice,2.078,6.156
5,Rice,2.191,5.973
6,Rice,1.935,6.306
7,Rice,2.178,5.705
8,Rice,1.974,6.117
9,Rice,2.149,5.914
10,Rice,2.163,5.998
11,Rice,1.95,6.218
12,Rice,2.159,6.014
13,Rice,1.894,6.02
14,Rice,2.119,6.076
15,Rice,2.1,5.704
16,Rice,2.152,5.914
17,Rice,2.1,6.037
18,Rice,2.142,6.082
19,Rice,2.234,5.868
20,Rice,2.028,5.93
21,Rice,2.179,6.053
22,Rice,2.035,6.055
23,Rice,2.219,5.994
24,Rice,2.011,6.35
25,Rice,2.132,6.024
26,Rice,1.905,6.456
27,Rice,2.153,6.164
28,Rice,2.143,6.097
29,Rice,2.0,5.679
30,Rice,1.825,6.403
31,Rice,1.946,5.77
32,Rice,2.152,6.05
33,Rice,1.951,5.623
34,Rice,2.115,6.114
35,Rice,1.933,6.14
36,Rice,2.132,5.748
1,Inferior,2.039,5.74
2,Inferior,2.143,5.422
3,Inferior,2.137,6.147
1,Rice,1.851,5.801
2,Rice,2.206,5.85
3,Rice,2.024,6.098
4,Rice,2.222,5.689
5,Rice,2.014,5.755
6,Rice,2.107,6.02
7,Rice,2.09,5.853
8,Rice,2.138,6.06
9,Rice,2.177,5.735
10,Rice,2.134,5.791
11,Rice,1.978,5.709
1,Break,1.848,3.821
12,Rice,2.065,6.047
13,Rice,2.117,6.104
14,Rice,2.138,5.842
1,Inferior,2.018,5.62
2,Inferior,2.032,5.609
15,Rice,2.058,6.104
16,Rice,2.071,6.119
17,Rice,1.766,6.145
3,Inferior,2.177,4.432
2,Break,1.897,4.487
4,Inferior,2.049,6.099
5,Inferior,1.88,6.271
18,Rice,1.893,4.496
6,Inferior,1.884,5.948
19,Rice,1.82,5.948
1,Rice,2.128,5.893
2,Rice,2.001,5.582
3,Rice,2.149,5.956
4,Rice,2.13,6.036
5,Rice,2.084,6.203
6,Rice,2.13,5.672
7,Rice,2.053,5.961
8,Rice,2.124,5.938
9,Rice,2.122,5.973
10,Rice,2.074,5.503
11,Rice,2.069,6.095
12,Rice,1.969,6.323
13,Rice,1.905,5.905
14,Rice,1.875,6.248
15,Rice,2.087,5.715
16,Rice,2.214,6.043
17,Rice,2.054,6.271
18,Rice,1.919,5.896
19,Rice,2.033,6.019
20,Rice,2.055,6.129
21,Rice,1.795,5.733
1,Break,1.931,3.24
1,Rice,2.055,5.653
2,Rice,1.997,5.673
3,Rice,1.841,5.93
4,Rice,1.899,5.694
5,Rice,2.006,6.093
6,Rice,1.879,6.101
7,Rice,1.957,5.981
8,Rice,2.048,5.966
9,Rice,1.99,5.912
10,Rice,1.968,5.989
11,Rice,2.066,5.93
12,Rice,2.062,6.189
13,Rice,2.133,6.188
14,Rice,1.799,5.694
15,Rice,1.89,5.518
16,Rice,1.988,6.211
17,Rice,1.848,5.739
18,Rice,2.045,5.791
19,Rice,1.898,6.033
20,Rice,2.082,5.951
21,Rice,1.957,5.731
22,Rice,1.78,5.743
23,Rice,1.789,5.584
24,Rice,2.009,5.787
1,Break,2.07,5.898
2,Break,1.895,3.182
25,Rice,2.103,4.849
26,Rice,2.062,5.911
1,Rice,2.085,5.54
2,Rice,2.087,5.939
3,Rice,2.089,5.54
4,Rice,2.194,5.768
5,Rice,1.796,6.051
