Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.795,6.024
2,Rice,2.747,6.165
3,Rice,2.633,6.085
4,Rice,2.626,5.774
5,Rice,2.617,5.79
6,Rice,2.54,6.234
7,Rice,2.61,5.541
8,Rice,2.674,5.99
9,Rice,2.648,5.996
10,Rice,2.557,6.012
11,Rice,2.658,5.909
12,Rice,2.549,6.131
13,Rice,2.676,6.0
14,Rice,2.498,5.587
15,Rice,2.501,5.951
16,Rice,2.607,5.714
17,Rice,2.554,5.749
18,Rice,2.644,6.09
19,Rice,2.667,6.35
20,Rice,2.561,5.882
21,Rice,2.194,6.096
22,Rice,2.159,5.848
23,Rice,2.737,6.37
24,Rice,2.582,5.842
25,Rice,2.688,6.284
26,Rice,2.5,5.733
27,Rice,2.407,5.796
28,Rice,2.363,5.463
29,Rice,2.566,6.131
