Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.458,6.111
2,Rice,2.29,5.747
3,Rice,2.218,5.637
4,Rice,2.423,6.039
5,Rice,2.408,5.776
6,Rice,2.125,5.811
7,Rice,2.495,6.001
8,Rice,2.155,5.825
9,Rice,2.036,6.122
10,Rice,2.21,5.597
11,Rice,2.256,5.595
12,Rice,2.2,5.553
13,Rice,2.424,6.1
14,Rice,2.214,5.557
15,Rice,2.124,5.454
16,Rice,2.344,6.035
17,Rice,2.295,6.014
18,Rice,2.214,5.888
19,Rice,2.302,6.004
20,Rice,2.157,5.686
21,Rice,2.169,5.611
22,Rice,2.328,6.032
23,Rice,2.074,5.736
24,Rice,2.074,5.969
25,Rice,2.393,6.045
26,Rice,2.199,5.767
27,Rice,2.214,6.079
