Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.068,7.104
2,Rice,2.028,6.969
3,Rice,2.262,6.767
4,Rice,2.319,7.22
5,Rice,2.202,6.922
6,Rice,2.065,6.712
7,Rice,2.318,6.791
8,Rice,2.244,7.366
9,Rice,2.106,6.69
10,Rice,2.367,7.064
11,Rice,2.398,6.903
12,Rice,1.99,6.944
13,Rice,2.229,6.733
14,Rice,2.111,7.193
15,Rice,2.494,7.007
16,Rice,2.165,7.113
17,Rice,2.339,7.124
18,Rice,2.326,7.03
19,Rice,2.307,6.837
20,Rice,2.071,6.466
21,Rice,2.384,7.13
1,Inferior,2.249,6.999
22,Rice,2.223,6.921
2,Inferior,2.009,6.581
