Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.253,6.81
2,Rice,2.242,6.736
3,Rice,2.365,6.735
4,Rice,2.454,6.937
5,Rice,2.405,7.069
6,Rice,2.375,6.836
7,Rice,2.47,6.69
8,Rice,2.412,6.753
9,Rice,2.269,7.124
10,Rice,2.348,6.61
11,Rice,2.192,6.956
12,Rice,2.275,6.973
13,Rice,2.129,6.688
14,Rice,2.359,6.671
15,Rice,2.409,7.106
16,Rice,2.15,6.682
1,Inferior,1.834,5.945
1,Break,2.225,6.009
17,Rice,2.06,6.934
2,Inferior,1.997,6.028
3,Inferior,1.881,6.241
18,Rice,1.831,6.338
4,Inferior,2.101,6.696
