Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.718,6.235
2,Rice,2.668,6.18
3,Rice,2.7,6.221
4,Rice,2.534,6.049
5,Rice,2.74,6.092
6,Rice,2.316,5.658
7,Rice,2.524,6.096
8,Rice,2.629,5.787
9,Rice,2.283,5.976
10,Rice,2.594,5.723
11,Rice,2.512,6.029
12,Rice,2.475,5.767
13,Rice,2.519,5.905
14,Rice,2.619,5.887
15,Rice,2.576,6.091
16,Rice,2.623,5.887
17,Rice,2.362,5.495
18,Rice,2.474,5.595
19,Rice,2.54,5.63
20,Rice,2.434,5.419
1,Break,1.947,3.888
21,Rice,2.302,5.659
22,Rice,2.443,6.084
23,Rice,2.392,5.694
24,Rice,2.112,5.464
25,Rice,2.143,5.413
26,Rice,2.262,5.037
27,Rice,2.182,5.164
28,Rice,2.064,5.426
1,Inferior,2.056,5.426
1,Rice,2.269,6.125
2,Rice,2.072,5.712
3,Rice,2.234,6.374
4,Rice,2.384,6.087
5,Rice,2.266,6.166
6,Rice,2.226,6.122
7,Rice,2.354,6.123
1,Rice,2.834,6.173
2,Rice,2.792,5.828
3,Rice,2.535,5.762
4,Rice,2.747,5.894
5,Rice,2.684,5.823
6,Rice,2.604,5.972
7,Rice,2.669,5.963
8,Rice,2.675,5.925
9,Rice,2.635,5.904
10,Rice,2.634,5.953
11,Rice,2.469,6.188
12,Rice,2.481,6.074
13,Rice,2.879,6.329
14,Rice,2.617,5.91
15,Rice,2.61,5.951
16,Rice,2.754,5.583
17,Rice,2.652,5.846
18,Rice,2.535,5.571
19,Rice,2.754,5.687
20,Rice,2.63,5.613
21,Rice,2.881,5.867
22,Rice,2.384,5.322
23,Rice,2.843,5.974
24,Rice,2.593,5.138
25,Rice,2.51,5.656
26,Rice,2.349,5.736
27,Rice,2.299,5.684
28,Rice,2.599,5.756
29,Rice,2.57,6.017
30,Rice,2.841,5.996
31,Rice,2.561,5.757
32,Rice,2.625,5.757
1,Rice,2.443,5.563
2,Rice,2.402,5.689
3,Rice,2.455,5.905
4,Rice,2.455,5.863
5,Rice,2.63,5.959
6,Rice,2.365,5.303
7,Rice,2.497,5.852
8,Rice,2.478,5.732
9,Rice,2.442,5.727
10,Rice,2.432,5.668
1,Inferior,1.368,3.629
1,Rice,2.795,6.024
2,Rice,2.747,6.165
3,Rice,2.633,6.085
4,Rice,2.626,5.774
5,Rice,2.617,5.79
6,Rice,2.54,6.234
7,Rice,2.61,5.541
8,Rice,2.674,5.99
9,Rice,2.648,5.996
10,Rice,2.557,6.012
11,Rice,2.658,5.909
12,Rice,2.549,6.131
13,Rice,2.676,6.0
14,Rice,2.498,5.587
15,Rice,2.501,5.951
16,Rice,2.607,5.714
17,Rice,2.554,5.749
18,Rice,2.644,6.09
19,Rice,2.667,6.35
20,Rice,2.561,5.882
21,Rice,2.194,6.096
22,Rice,2.159,5.848
23,Rice,2.737,6.37
24,Rice,2.582,5.842
25,Rice,2.688,6.284
26,Rice,2.5,5.733
27,Rice,2.407,5.796
28,Rice,2.363,5.463
29,Rice,2.566,6.131
1,Rice,2.561,5.524
2,Rice,2.498,5.819
3,Rice,2.561,5.948
4,Rice,2.544,5.822
5,Rice,2.577,5.81
6,Rice,2.528,5.83
7,Rice,2.457,5.881
8,Rice,2.377,5.658
9,Rice,2.589,5.731
10,Rice,2.415,5.489
11,Rice,2.358,5.523
12,Rice,2.117,5.546
13,Rice,2.048,5.105
14,Rice,2.349,5.44
15,Rice,2.117,5.104
1,Inferior,2.067,5.063
16,Rice,2.067,5.111
1,Rice,2.435,5.437
2,Rice,2.546,5.847
3,Rice,2.626,6.056
4,Rice,2.724,5.432
5,Rice,2.482,5.353
6,Rice,2.574,5.771
7,Rice,2.63,5.56
8,Rice,2.672,5.982
9,Rice,2.507,5.701
10,Rice,2.56,5.715
11,Rice,2.695,5.662
12,Rice,2.697,5.98
13,Rice,2.456,5.589
14,Rice,2.646,6.051
15,Rice,2.416,5.64
16,Rice,2.414,5.415
17,Rice,2.531,5.361
18,Rice,2.543,5.833
19,Rice,2.583,6.133
20,Rice,2.547,5.774
21,Rice,2.621,5.918
22,Rice,2.401,6.246
23,Rice,2.567,5.483
24,Rice,2.574,5.979
25,Rice,2.477,6.213
26,Rice,2.498,5.397
27,Rice,2.512,5.768
28,Rice,2.408,6.083
29,Rice,2.585,5.867
30,Rice,2.494,5.744
