Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,1.96,7.027
2,Rice,1.847,7.092
3,Rice,2.417,7.352
4,Rice,2.18,7.006
5,Rice,2.016,6.927
6,Rice,1.912,6.736
7,Rice,1.929,7.133
8,Rice,2.14,7.544
1,Break,2.247,3.715
1,Inferior,2.144,7.365
9,Rice,2.102,7.752
2,Break,2.305,5.842
3,Break,2.368,5.394
2,Inferior,2.183,7.531
3,Inferior,2.005,7.368
4,Inferior,2.175,6.783
10,Rice,2.178,6.768
1,Rice,2.335,7.663
2,Rice,2.231,6.317
3,Rice,2.195,7.41
1,Inferior,2.256,6.895
1,Rice,2.255,7.002
2,Rice,2.025,6.88
3,Rice,2.155,7.491
4,Rice,2.346,7.74
5,Rice,2.21,7.019
1,Inferior,1.707,6.742
1,Break,2.084,3.686
6,Rice,1.987,6.943
7,Rice,2.258,7.774
8,Rice,1.904,7.112
2,Inferior,1.673,6.834
3,Inferior,2.162,7.202
2,Break,2.051,4.776
4,Inferior,1.864,6.907
5,Inferior,2.121,7.226
3,Break,1.781,2.619
6,Inferior,2.075,4.837
1,Rice,1.955,6.761
2,Rice,2.188,7.094
3,Rice,2.291,6.823
4,Rice,2.303,6.825
5,Rice,2.12,7.866
1,Break,2.278,5.815
6,Rice,1.785,6.509
1,Inferior,2.122,6.438
2,Inferior,2.13,6.338
3,Inferior,1.901,6.964
7,Rice,2.265,6.626
8,Rice,2.139,6.522
4,Inferior,2.136,6.514
1,Rice,2.157,7.47
2,Rice,2.261,7.555
3,Rice,2.461,7.818
4,Rice,2.16,7.608
5,Rice,1.997,7.645
6,Rice,2.05,7.082
1,Inferior,2.232,7.558
1,Break,2.382,7.213
2,Inferior,1.918,6.669
1,Rice,2.267,7.731
2,Rice,2.332,7.85
3,Rice,2.183,7.371
4,Rice,2.256,7.016
5,Rice,2.269,7.098
6,Rice,2.127,7.069
1,Break,2.095,3.196
1,Inferior,2.158,7.34
2,Inferior,2.155,6.951
3,Inferior,2.281,7.343
2,Break,2.231,4.655
3,Break,1.723,3.819
4,Inferior,1.903,6.212
5,Inferior,2.244,7.366
7,Rice,1.883,6.569
6,Inferior,2.166,7.718
7,Inferior,2.201,6.583
4,Break,1.82,2.941
8,Inferior,2.276,6.874
8,Rice,2.321,7.556
9,Inferior,2.32,7.509
1,Rice,2.313,7.945
2,Rice,2.235,7.653
3,Rice,2.314,6.843
1,Inferior,2.091,6.812
4,Rice,2.359,7.877
5,Rice,2.167,6.791
2,Inferior,2.043,6.223
6,Rice,2.18,7.005
1,Break,1.971,4.243
3,Inferior,2.238,7.501
7,Rice,2.216,7.17
4,Inferior,1.965,7.227
8,Rice,1.844,7.097
5,Inferior,1.851,7.141
9,Rice,1.773,6.98
10,Rice,2.196,7.224
6,Inferior,1.842,7.414
7,Inferior,2.302,7.504
11,Rice,2.161,6.889
1,Rice,2.231,7.277
2,Rice,2.271,7.185
3,Rice,2.36,7.972
4,Rice,1.953,6.995
5,Rice,2.062,7.883
6,Rice,2.257,7.624
7,Rice,1.874,7.11
8,Rice,2.372,7.684
9,Rice,1.897,6.989
10,Rice,2.489,7.729
11,Rice,2.082,7.62
1,Break,2.292,6.147
1,Inferior,1.985,7.077
2,Inferior,1.982,5.611
2,Break,2.111,6.682
1,Inferior,2.295,7.786
1,Rice,2.348,7.702
2,Rice,2.402,7.893
3,Rice,2.297,7.932
4,Rice,1.956,6.524
5,Rice,2.298,7.175
6,Rice,2.14,6.444
