Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.349,6.904
2,Rice,2.247,6.86
3,Rice,2.339,7.205
4,Rice,2.257,6.708
1,Rice,2.068,7.104
2,Rice,2.028,6.969
3,Rice,2.262,6.767
4,Rice,2.319,7.22
5,Rice,2.202,6.922
6,Rice,2.065,6.712
7,Rice,2.318,6.791
8,Rice,2.244,7.366
9,Rice,2.106,6.69
10,Rice,2.367,7.064
11,Rice,2.398,6.903
12,Rice,1.99,6.944
13,Rice,2.229,6.733
14,Rice,2.111,7.193
15,Rice,2.494,7.007
16,Rice,2.165,7.113
17,Rice,2.339,7.124
18,Rice,2.326,7.03
19,Rice,2.307,6.837
20,Rice,2.071,6.466
21,Rice,2.384,7.13
1,Inferior,2.249,6.999
22,Rice,2.223,6.921
2,Inferior,2.009,6.581
1,Rice,2.235,7.054
2,Rice,2.296,7.114
3,Rice,2.376,7.214
4,Rice,2.31,6.497
5,Rice,2.139,7.093
6,Rice,2.325,7.471
7,Rice,2.393,7.121
8,Rice,2.305,6.736
9,Rice,1.942,6.357
1,Break,2.281,5.226
1,Rice,2.284,7.499
2,Rice,2.229,7.356
3,Rice,2.387,7.071
4,Rice,2.146,6.734
5,Rice,2.34,7.153
6,Rice,2.302,6.627
7,Rice,2.351,6.361
8,Rice,2.118,6.787
9,Rice,2.057,7.058
10,Rice,2.372,7.281
11,Rice,2.231,6.772
12,Rice,2.011,7.027
13,Rice,2.302,6.187
1,Rice,2.111,6.522
2,Rice,2.339,7.101
3,Rice,2.419,7.067
4,Rice,2.414,6.719
5,Rice,2.244,7.208
6,Rice,2.02,6.682
7,Rice,2.355,6.946
8,Rice,2.22,6.654
9,Rice,2.101,6.986
10,Rice,2.213,7.056
11,Rice,2.082,7.17
12,Rice,2.024,6.531
13,Rice,1.835,6.204
14,Rice,2.333,7.146
15,Rice,2.243,7.159
16,Rice,2.328,7.07
17,Rice,2.258,7.285
18,Rice,2.338,7.016
19,Rice,2.149,6.711
1,Inferior,2.221,6.427
1,Break,2.402,5.716
2,Inferior,1.868,6.409
1,Rice,2.047,6.782
2,Rice,2.125,6.436
3,Rice,2.267,6.827
4,Rice,2.165,6.718
5,Rice,2.105,6.921
1,Rice,2.038,7.325
2,Rice,2.268,7.098
3,Rice,2.273,7.006
4,Rice,2.276,7.189
5,Rice,2.255,7.119
6,Rice,2.436,7.442
7,Rice,2.073,6.56
8,Rice,2.281,6.903
9,Rice,2.3,7.331
1,Inferior,2.244,6.576
1,Rice,2.255,7.264
2,Rice,2.317,6.887
3,Rice,2.295,6.8
4,Rice,2.353,7.095
5,Rice,2.395,6.722
6,Rice,2.003,7.013
1,Inferior,2.339,6.858
1,Rice,2.32,7.469
2,Rice,2.053,7.106
3,Rice,2.278,7.362
4,Rice,2.397,6.691
5,Rice,2.215,6.536
6,Rice,2.251,6.964
7,Rice,2.248,6.906
8,Rice,2.256,7.582
9,Rice,2.354,6.724
10,Rice,2.416,6.76
11,Rice,2.159,6.953
12,Rice,2.222,6.408
13,Rice,2.389,6.66
14,Rice,2.02,7.186
15,Rice,2.16,6.879
16,Rice,2.094,6.682
17,Rice,2.319,7.158
1,Break,2.325,5.161
1,Inferior,2.325,5.162
1,Rice,2.349,6.826
2,Rice,2.269,6.941
3,Rice,2.332,6.886
4,Rice,2.27,6.955
5,Rice,2.23,7.101
6,Rice,2.365,6.387
7,Rice,2.321,6.892
8,Rice,2.298,6.958
1,Break,2.209,5.583
9,Rice,2.265,6.853
1,Inferior,2.363,6.698
2,Inferior,2.408,7.233
10,Rice,2.253,6.462
3,Inferior,2.069,6.862
4,Inferior,2.299,6.888
11,Rice,2.368,6.259
12,Rice,2.293,6.907
2,Break,2.367,6.238
