Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.278,6.711
2,Rice,2.287,7.398
3,Rice,2.38,7.196
4,Rice,2.272,6.724
5,Rice,2.134,7.61
6,Rice,2.288,7.566
7,Rice,2.271,6.824
8,Rice,2.455,7.177
9,Rice,2.344,7.304
10,Rice,2.373,7.287
11,Rice,2.186,7.383
12,Rice,2.339,6.809
13,Rice,2.171,7.668
14,Rice,2.106,7.732
15,Rice,2.249,6.938
16,Rice,2.08,7.364
17,Rice,2.117,7.363
18,Rice,2.286,7.112
1,Rice,2.143,7.477
2,Rice,2.114,6.921
3,Rice,2.062,7.033
4,Rice,1.77,6.949
5,Rice,1.884,6.872
6,Rice,2.035,6.872
7,Rice,2.175,6.988
8,Rice,1.908,6.963
9,Rice,2.053,6.822
10,Rice,2.04,7.146
11,Rice,2.081,7.269
12,Rice,2.065,6.614
13,Rice,1.952,6.843
14,Rice,2.129,6.581
15,Rice,2.09,6.897
16,Rice,2.066,7.041
17,Rice,1.99,6.579
18,Rice,1.99,6.768
19,Rice,2.012,6.767
20,Rice,2.176,7.282
21,Rice,1.81,7.146
22,Rice,1.77,6.68
23,Rice,1.943,7.03
1,Rice,2.096,7.471
2,Rice,2.215,7.193
3,Rice,2.35,7.354
4,Rice,2.28,7.154
5,Rice,2.028,7.06
6,Rice,2.201,7.155
7,Rice,2.032,7.366
1,Break,2.133,5.372
8,Rice,2.286,6.929
9,Rice,2.191,7.152
10,Rice,2.036,7.259
11,Rice,2.173,7.223
2,Break,1.932,2.275
1,Rice,2.162,7.206
2,Rice,2.095,7.183
3,Rice,2.226,7.187
4,Rice,2.046,6.896
5,Rice,2.174,7.654
6,Rice,2.049,6.976
7,Rice,2.034,7.194
8,Rice,2.094,7.318
9,Rice,2.029,7.293
10,Rice,2.223,7.03
11,Rice,2.12,6.692
12,Rice,2.024,7.148
13,Rice,2.065,7.182
14,Rice,2.051,7.038
15,Rice,2.233,6.953
16,Rice,2.164,6.856
17,Rice,2.053,6.937
18,Rice,1.863,7.239
19,Rice,2.094,7.349
20,Rice,1.657,6.63
1,Break,1.345,2.457
1,Rice,2.185,7.594
2,Rice,2.298,7.84
3,Rice,2.244,7.329
4,Rice,2.084,8.195
5,Rice,2.045,7.706
6,Rice,2.298,6.957
7,Rice,2.335,7.216
1,Rice,2.213,7.018
2,Rice,2.249,7.212
3,Rice,1.947,6.9
4,Rice,2.173,6.421
1,Rice,1.99,7.514
2,Rice,2.24,7.484
3,Rice,2.235,7.371
4,Rice,1.918,7.318
5,Rice,2.313,7.49
1,Break,1.963,2.687
6,Rice,2.313,7.645
7,Rice,2.233,7.462
2,Break,1.93,5.256
8,Rice,1.885,7.006
1,Inferior,1.88,7.036
1,Rice,2.213,7.142
2,Rice,2.088,6.955
3,Rice,1.996,7.268
4,Rice,2.084,7.283
5,Rice,1.905,7.265
6,Rice,1.879,7.161
7,Rice,1.961,7.223
8,Rice,1.957,6.962
9,Rice,2.107,7.135
10,Rice,1.952,6.979
11,Rice,2.155,7.063
12,Rice,1.96,7.131
13,Rice,1.786,6.878
14,Rice,1.872,7.279
15,Rice,1.916,7.393
16,Rice,1.889,7.118
1,Break,2.179,6.404
17,Rice,1.819,7.045
1,Rice,1.851,6.861
2,Rice,1.893,5.928
3,Rice,2.043,6.458
4,Rice,1.804,6.636
5,Rice,1.796,6.571
6,Rice,1.592,6.042
7,Rice,1.756,6.522
1,Break,1.87,4.51
2,Break,0.909,1.822
1,Break,2.31,3.938
2,Break,2.294,3.491
1,Rice,2.301,6.889
