Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.16,5.951
2,Rice,1.949,6.228
3,Rice,2.093,5.997
4,Rice,2.119,6.331
5,Rice,2.012,5.809
6,Rice,1.956,5.856
7,Rice,2.193,5.929
8,Rice,2.117,5.905
9,Rice,2.188,6.332
1,Rice,2.071,5.996
2,Rice,1.931,6.166
3,Rice,2.027,6.218
4,Rice,2.011,6.096
5,Rice,1.772,5.845
6,Rice,2.156,6.245
7,Rice,1.849,5.651
8,Rice,2.138,6.181
9,Rice,2.078,5.838
10,Rice,1.842,4.932
11,Rice,1.988,5.489
1,Inferior,2.007,5.329
12,Rice,1.88,5.915
2,Inferior,2.045,6.191
13,Rice,2.057,6.162
1,Rice,2.017,5.93
2,Rice,1.976,5.912
3,Rice,2.139,5.926
4,Rice,2.001,5.439
5,Rice,2.002,5.844
6,Rice,2.186,5.573
7,Rice,1.953,5.842
8,Rice,2.042,6.072
9,Rice,1.981,5.682
10,Rice,2.135,5.733
11,Rice,2.122,5.778
12,Rice,2.088,6.027
13,Rice,2.173,5.97
14,Rice,2.007,5.947
15,Rice,2.109,5.712
16,Rice,1.961,6.232
1,Rice,2.001,6.003
2,Rice,1.819,5.965
3,Rice,2.054,5.779
4,Rice,1.983,5.86
5,Rice,1.903,5.998
6,Rice,2.12,5.827
7,Rice,1.986,6.068
8,Rice,1.915,5.575
9,Rice,2.116,6.036
10,Rice,1.988,6.439
11,Rice,2.053,6.075
12,Rice,1.589,5.73
13,Rice,1.924,6.435
14,Rice,1.757,5.744
1,Break,1.831,2.808
2,Break,1.861,3.321
15,Rice,1.736,5.246
3,Break,1.777,4.343
16,Rice,1.787,4.349
1,Rice,2.092,5.658
2,Rice,2.115,5.621
3,Rice,2.219,5.612
4,Rice,2.094,5.316
5,Rice,2.093,5.902
6,Rice,2.08,5.822
7,Rice,2.074,6.01
8,Rice,2.109,6.265
1,Break,2.151,4.379
9,Rice,2.066,5.942
2,Break,1.843,2.241
10,Rice,2.13,6.117
1,Rice,2.079,6.024
2,Rice,2.007,6.297
3,Rice,1.982,6.145
4,Rice,2.002,5.988
5,Rice,1.959,6.2
6,Rice,2.06,6.065
7,Rice,2.064,6.222
8,Rice,2.104,5.996
9,Rice,2.088,6.151
10,Rice,1.841,5.55
1,Break,1.992,3.936
11,Rice,2.145,6.453
12,Rice,1.907,6.203
1,Inferior,2.043,5.042
13,Rice,1.919,4.338
2,Inferior,2.058,5.226
2,Break,1.402,1.736
14,Rice,1.74,4.435
1,Rice,2.094,6.471
2,Rice,2.061,6.041
3,Rice,2.133,6.07
4,Rice,2.023,6.182
5,Rice,1.994,6.35
6,Rice,2.076,5.996
7,Rice,2.05,6.16
8,Rice,2.057,6.141
9,Rice,1.946,5.226
10,Rice,1.784,5.533
11,Rice,1.953,6.044
1,Inferior,1.998,4.961
12,Rice,1.868,5.968
13,Rice,2.048,5.805
1,Break,1.862,4.378
2,Break,1.947,3.836
3,Break,1.691,4.331
14,Rice,1.691,4.333
4,Break,2.063,5.913
1,Break,2.069,3.212
1,Rice,2.017,5.806
2,Rice,1.942,5.206
3,Rice,2.165,6.385
4,Rice,2.22,6.054
5,Rice,2.1,5.453
6,Rice,1.95,5.329
7,Rice,2.115,5.423
8,Rice,2.086,5.64
9,Rice,2.163,5.656
10,Rice,1.895,5.637
11,Rice,2.042,6.03
12,Rice,1.985,6.007
13,Rice,1.939,3.801
14,Rice,1.789,5.988
15,Rice,2.125,5.147
16,Rice,1.95,4.979
1,Inferior,1.925,4.997
17,Rice,1.863,6.032
18,Rice,1.985,5.589
2,Inferior,1.76,4.107
3,Inferior,1.976,5.591
1,Rice,2.067,5.919
2,Rice,1.958,6.012
3,Rice,1.884,6.075
4,Rice,1.964,6.042
5,Rice,2.068,5.854
6,Rice,1.98,5.783
7,Rice,2.048,5.949
8,Rice,1.757,5.99
9,Rice,1.892,5.669
10,Rice,2.028,6.095
11,Rice,1.917,6.144
12,Rice,1.983,6.118
13,Rice,1.936,5.744
14,Rice,1.77,5.939
15,Rice,2.094,6.139
16,Rice,1.923,6.001
17,Rice,1.909,5.997
18,Rice,1.977,5.675
1,Inferior,1.919,5.967
19,Rice,1.82,5.779
20,Rice,1.969,6.191
1,Rice,2.087,6.05
2,Rice,1.993,6.263
3,Rice,1.993,5.965
4,Rice,2.065,6.285
5,Rice,2.154,6.252
6,Rice,2.084,6.168
1,Inferior,1.728,5.728
7,Rice,1.972,6.22
2,Inferior,0.496,2.315
3,Inferior,1.971,6.193
1,Rice,2.046,5.773
2,Rice,2.133,6.057
3,Rice,2.071,6.056
4,Rice,2.064,5.924
5,Rice,1.996,5.919
6,Rice,2.154,6.255
7,Rice,1.976,5.636
8,Rice,2.053,5.884
9,Rice,2.042,5.776
10,Rice,2.086,6.19
1,Inferior,2.011,6.011
