Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.441,6.251
2,Rice,2.372,5.83
3,Rice,2.47,6.258
4,Rice,2.18,5.838
5,Rice,2.413,6.119
6,Rice,2.392,6.131
7,Rice,2.351,6.338
8,Rice,2.383,6.088
9,Rice,2.431,5.812
10,Rice,2.265,5.947
11,Rice,2.51,6.033
12,Rice,2.296,6.272
13,Rice,2.336,5.969
14,Rice,2.288,5.998
15,Rice,2.385,6.049
16,Rice,2.223,6.096
17,Rice,2.22,5.797
18,Rice,2.328,6.159
19,Rice,2.392,5.876
20,Rice,2.27,5.846
21,Rice,2.34,5.894
22,Rice,2.385,6.037
23,Rice,2.24,5.976
24,Rice,2.344,6.066
25,Rice,2.413,6.166
26,Rice,2.205,6.024
27,Rice,2.095,5.673
28,Rice,2.113,6.352
29,Rice,2.047,5.846
30,Rice,1.988,5.072
31,Rice,2.177,5.75
32,Rice,2.179,5.596
1,Inferior,2.07,5.846
2,Inferior,2.019,5.144
