Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.381,7.282
2,Rice,2.331,7.267
3,Rice,1.968,7.324
4,Rice,2.317,7.289
5,Rice,2.317,7.629
6,Rice,2.264,7.857
7,Rice,2.262,7.221
8,Rice,2.256,7.567
9,Rice,2.351,7.444
10,Rice,2.223,7.817
11,Rice,2.472,7.314
12,Rice,2.317,7.435
13,Rice,2.268,7.669
14,Rice,2.138,7.472
15,Rice,2.27,7.099
16,Rice,2.121,6.951
1,Inferior,1.809,7.208
17,Rice,2.22,7.362
18,Rice,2.055,7.168
19,Rice,2.192,6.742
20,Rice,2.244,7.33
21,Rice,2.247,6.912
22,Rice,2.252,7.203
23,Rice,2.25,7.045
2,Inferior,2.157,6.796
24,Rice,2.259,7.114
3,Inferior,2.271,7.066
4,Inferior,2.22,7.179
25,Rice,2.035,7.108
26,Rice,1.97,7.287
27,Rice,2.237,7.147
1,Break,2.176,5.478
5,Inferior,2.267,7.15
