Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.474,6.576
2,Rice,2.303,6.515
3,Rice,2.402,6.609
4,Rice,2.493,6.586
5,Rice,2.483,6.406
6,Rice,2.495,6.488
7,Rice,2.529,6.824
8,Rice,2.362,6.772
9,Rice,2.406,6.66
10,Rice,2.39,6.594
11,Rice,2.367,6.664
12,Rice,2.45,6.332
13,Rice,2.498,6.581
14,Rice,2.339,6.699
15,Rice,2.35,6.668
16,Rice,2.351,6.546
17,Rice,2.326,6.381
18,Rice,2.252,6.594
19,Rice,2.363,6.292
20,Rice,2.326,6.098
21,Rice,2.437,6.425
22,Rice,2.374,6.517
23,Rice,2.384,6.3
24,Rice,2.407,6.395
25,Rice,2.326,6.256
26,Rice,2.233,6.55
27,Rice,2.305,6.562
28,Rice,2.306,6.334
29,Rice,2.326,6.547
30,Rice,2.317,6.372
31,Rice,2.376,6.289
32,Rice,2.224,6.472
33,Rice,2.382,6.563
34,Rice,2.269,6.195
35,Rice,2.343,6.296
36,Rice,2.29,6.361
37,Rice,2.382,6.233
38,Rice,2.243,6.492
39,Rice,2.493,6.481
40,Rice,2.14,6.293
41,Rice,2.27,5.992
42,Rice,2.335,6.098
43,Rice,2.362,6.604
44,Rice,2.392,6.569
45,Rice,2.514,6.334
46,Rice,2.275,5.984
47,Rice,2.196,6.223
48,Rice,2.085,6.556
49,Rice,2.341,5.894
50,Rice,2.21,6.367
51,Rice,2.204,5.745
52,Rice,2.356,6.371
53,Rice,2.354,5.774
