Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.201,6.977
2,Rice,2.199,6.863
3,Rice,2.261,7.221
4,Rice,2.329,6.441
5,Rice,2.428,6.961
6,Rice,2.378,6.582
7,Rice,2.348,7.003
8,Rice,2.23,6.746
9,Rice,2.268,7.327
10,Rice,2.268,6.799
11,Rice,2.224,6.905
12,Rice,2.324,7.074
13,Rice,2.279,7.068
14,Rice,2.297,6.514
15,Rice,2.291,7.392
16,Rice,2.241,7.351
17,Rice,2.316,6.948
18,Rice,2.392,6.646
19,Rice,2.316,6.735
20,Rice,2.133,6.869
21,Rice,2.275,7.439
22,Rice,2.205,7.318
23,Rice,2.321,7.318
24,Rice,2.074,7.123
25,Rice,2.326,6.939
26,Rice,2.306,7.047
27,Rice,2.311,6.85
28,Rice,2.259,6.937
29,Rice,2.222,7.237
1,Inferior,2.223,7.366
30,Rice,2.1,6.688
31,Rice,2.146,7.093
2,Inferior,2.284,6.34
32,Rice,2.303,6.873
3,Inferior,2.103,6.247
