Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.338,7.036
2,Rice,2.415,7.291
3,Rice,2.418,6.969
4,Rice,2.538,6.993
5,Rice,2.396,7.038
6,Rice,2.454,6.84
7,Rice,2.525,6.657
8,Rice,2.467,6.908
9,Rice,2.484,7.194
10,Rice,2.167,7.045
11,Rice,2.508,6.878
12,Rice,2.462,6.89
13,Rice,2.41,6.878
14,Rice,2.317,7.007
15,Rice,2.392,6.752
16,Rice,2.49,6.958
17,Rice,2.338,6.624
18,Rice,2.517,7.16
19,Rice,2.455,6.646
20,Rice,2.555,7.072
21,Rice,2.495,7.17
22,Rice,2.429,6.707
23,Rice,2.556,7.048
24,Rice,2.349,6.646
25,Rice,2.522,6.558
26,Rice,2.55,7.273
27,Rice,2.515,6.859
28,Rice,2.4,6.444
29,Rice,2.293,6.702
30,Rice,2.272,6.626
31,Rice,2.547,6.484
32,Rice,2.383,7.376
33,Rice,2.425,6.305
34,Rice,2.556,6.933
35,Rice,2.229,6.88
36,Rice,2.255,6.628
37,Rice,2.413,6.603
38,Rice,2.022,6.93
39,Rice,2.082,6.837
1,Inferior,2.259,5.934
40,Rice,2.316,6.497
2,Inferior,2.363,6.269
3,Inferior,2.126,6.362
4,Inferior,2.145,6.355
1,Break,1.342,1.839
