Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.768,6.182
2,Rice,2.778,6.141
3,Rice,2.52,6.177
4,Rice,2.748,6.033
5,Rice,2.638,6.109
6,Rice,2.598,5.709
7,Rice,2.581,5.728
8,Rice,2.709,6.117
9,Rice,2.728,5.972
10,Rice,2.769,6.047
11,Rice,2.663,6.02
12,Rice,2.751,5.812
13,Rice,2.687,6.045
14,Rice,2.641,6.135
15,Rice,2.768,5.905
16,Rice,2.404,5.64
17,Rice,2.635,5.927
18,Rice,2.537,5.683
19,Rice,2.599,5.317
20,Rice,2.719,5.974
21,Rice,2.463,5.672
22,Rice,2.651,5.936
1,Break,2.26,4.678
23,Rice,2.709,5.969
24,Rice,2.622,6.084
25,Rice,2.434,5.44
26,Rice,2.556,5.822
27,Rice,2.685,5.9
28,Rice,2.64,5.917
29,Rice,2.527,5.498
30,Rice,2.406,5.722
31,Rice,2.703,5.711
1,Rice,2.441,6.251
2,Rice,2.372,5.83
3,Rice,2.47,6.258
4,Rice,2.18,5.838
5,Rice,2.413,6.119
6,Rice,2.392,6.131
7,Rice,2.351,6.338
8,Rice,2.383,6.088
9,Rice,2.431,5.812
10,Rice,2.265,5.947
11,Rice,2.51,6.033
12,Rice,2.296,6.272
13,Rice,2.336,5.969
14,Rice,2.288,5.998
15,Rice,2.385,6.049
16,Rice,2.223,6.096
17,Rice,2.22,5.797
18,Rice,2.328,6.159
19,Rice,2.392,5.876
20,Rice,2.27,5.846
21,Rice,2.34,5.894
22,Rice,2.385,6.037
23,Rice,2.24,5.976
24,Rice,2.344,6.066
25,Rice,2.413,6.166
26,Rice,2.205,6.024
27,Rice,2.095,5.673
28,Rice,2.113,6.352
29,Rice,2.047,5.846
30,Rice,1.988,5.072
31,Rice,2.177,5.75
32,Rice,2.179,5.596
1,Inferior,2.07,5.846
2,Inferior,2.019,5.144
1,Rice,2.716,6.152
2,Rice,2.831,5.91
3,Rice,2.552,5.928
4,Rice,2.817,5.899
5,Rice,2.893,6.12
6,Rice,2.816,5.965
7,Rice,2.797,6.071
8,Rice,2.676,5.556
9,Rice,2.872,5.978
10,Rice,2.8,5.952
11,Rice,2.654,5.596
12,Rice,2.815,5.982
13,Rice,2.663,6.1
14,Rice,2.746,6.071
15,Rice,2.765,5.671
16,Rice,2.88,6.073
17,Rice,2.735,5.916
18,Rice,2.642,5.771
19,Rice,2.627,5.366
20,Rice,2.512,5.89
21,Rice,2.725,5.738
22,Rice,2.619,5.822
23,Rice,2.75,5.75
24,Rice,2.853,6.004
25,Rice,2.754,5.781
26,Rice,2.683,5.649
27,Rice,2.708,5.966
28,Rice,2.754,5.959
29,Rice,2.651,6.048
30,Rice,2.74,5.826
31,Rice,2.746,6.018
32,Rice,2.709,6.265
33,Rice,2.479,5.665
34,Rice,2.363,5.335
35,Rice,2.503,5.449
36,Rice,2.5,5.613
37,Rice,2.688,5.808
38,Rice,2.71,6.053
39,Rice,2.564,5.838
40,Rice,2.584,5.525
41,Rice,2.773,5.928
42,Rice,2.73,6.054
43,Rice,2.498,5.63
44,Rice,2.473,5.923
45,Rice,2.779,5.973
46,Rice,2.689,5.568
47,Rice,2.683,5.698
48,Rice,2.782,5.807
49,Rice,2.722,5.851
50,Rice,2.752,5.715
51,Rice,2.779,5.901
52,Rice,2.682,5.863
53,Rice,2.629,5.777
54,Rice,2.854,5.782
55,Rice,2.665,5.739
56,Rice,2.574,5.912
57,Rice,2.305,5.209
58,Rice,2.836,6.075
59,Rice,2.371,5.609
60,Rice,2.513,5.411
1,Rice,2.571,5.77
2,Rice,2.624,6.017
3,Rice,2.651,6.106
4,Rice,2.625,5.927
5,Rice,2.571,5.87
