Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.562,5.799
2,Rice,2.528,6.066
3,Rice,2.455,6.19
4,Rice,2.569,5.611
5,Rice,2.411,5.825
6,Rice,2.448,5.888
7,Rice,2.542,5.877
8,Rice,2.502,5.861
9,Rice,2.501,5.778
10,Rice,2.485,5.702
11,Rice,2.48,5.727
12,Rice,2.254,5.884
13,Rice,2.481,5.851
14,Rice,2.464,5.685
15,Rice,2.349,5.503
16,Rice,2.372,5.48
17,Rice,2.403,5.682
18,Rice,2.433,5.604
19,Rice,2.303,5.65
20,Rice,2.444,6.064
21,Rice,2.378,5.26
22,Rice,2.524,5.755
23,Rice,2.573,6.014
24,Rice,2.56,5.565
25,Rice,2.579,5.864
26,Rice,2.276,5.391
27,Rice,2.455,5.94
28,Rice,2.413,6.181
29,Rice,2.655,5.926
30,Rice,2.306,5.507
1,Break,2.519,3.81
31,Rice,2.405,4.292
1,Rice,2.541,5.998
2,Rice,2.565,6.015
3,Rice,2.366,5.806
4,Rice,2.517,5.695
5,Rice,2.559,6.177
6,Rice,2.5,5.877
7,Rice,2.509,5.845
8,Rice,2.565,5.876
9,Rice,2.471,5.61
10,Rice,2.539,5.851
11,Rice,2.484,6.005
12,Rice,2.502,5.768
13,Rice,2.483,5.749
14,Rice,2.545,6.018
15,Rice,2.565,5.812
16,Rice,2.547,5.71
17,Rice,2.505,6.258
18,Rice,2.5,6.128
19,Rice,2.409,5.371
20,Rice,2.483,5.683
21,Rice,2.564,5.901
22,Rice,2.507,6.085
23,Rice,2.419,5.987
24,Rice,2.528,5.956
25,Rice,2.434,5.948
26,Rice,2.519,5.609
27,Rice,2.413,5.736
28,Rice,2.443,5.489
29,Rice,2.405,5.629
30,Rice,2.497,6.013
31,Rice,2.46,5.632
32,Rice,2.501,5.342
33,Rice,2.474,5.724
34,Rice,2.534,6.114
35,Rice,2.483,4.955
1,Rice,2.479,6.314
2,Rice,2.565,6.467
3,Rice,2.567,6.116
4,Rice,2.251,5.901
5,Rice,2.481,6.513
6,Rice,2.595,6.467
7,Rice,2.564,6.513
8,Rice,2.609,6.379
9,Rice,2.443,6.057
10,Rice,2.565,6.384
11,Rice,2.529,5.995
12,Rice,2.409,5.952
13,Rice,2.703,6.489
14,Rice,2.536,5.977
15,Rice,2.414,5.904
16,Rice,2.565,6.6
17,Rice,2.589,6.571
18,Rice,2.646,6.604
19,Rice,2.529,6.243
20,Rice,2.418,5.978
21,Rice,2.517,6.28
22,Rice,2.461,6.206
23,Rice,2.465,6.11
24,Rice,2.381,6.04
25,Rice,2.44,5.748
26,Rice,2.563,6.457
27,Rice,2.575,6.124
28,Rice,2.364,5.943
29,Rice,2.407,5.877
30,Rice,2.51,6.389
31,Rice,2.351,6.366
32,Rice,2.053,5.99
33,Rice,2.561,6.35
34,Rice,2.519,5.614
35,Rice,2.475,5.677
36,Rice,1.898,6.016
37,Rice,2.413,6.308
1,Rice,2.339,6.367
2,Rice,2.32,6.062
3,Rice,2.419,6.125
4,Rice,2.485,6.062
5,Rice,2.35,5.901
6,Rice,2.234,5.999
7,Rice,2.371,6.181
8,Rice,2.362,6.218
9,Rice,2.422,6.334
10,Rice,2.477,6.268
11,Rice,2.417,6.076
12,Rice,2.2,5.873
13,Rice,2.215,5.936
14,Rice,2.478,6.532
15,Rice,2.367,6.499
16,Rice,2.503,6.435
17,Rice,2.361,6.137
18,Rice,2.467,5.986
19,Rice,2.418,5.811
20,Rice,2.543,6.328
21,Rice,2.51,5.926
22,Rice,2.443,5.946
23,Rice,2.357,5.94
24,Rice,2.489,6.33
25,Rice,2.485,5.984
26,Rice,2.541,6.31
27,Rice,2.349,5.877
28,Rice,2.248,5.575
29,Rice,2.434,5.952
30,Rice,2.335,6.132
31,Rice,2.477,6.032
32,Rice,2.407,5.912
33,Rice,2.405,6.104
34,Rice,2.49,5.71
35,Rice,2.324,5.894
36,Rice,2.478,6.217
37,Rice,2.195,6.04
38,Rice,2.44,6.225
39,Rice,2.404,5.996
40,Rice,2.446,5.858
41,Rice,2.215,5.712
42,Rice,2.374,5.901
43,Rice,2.38,5.792
44,Rice,2.413,6.287
45,Rice,2.18,6.202
1,Inferior,2.328,5.977
2,Inferior,2.044,5.921
1,Break,2.409,5.382
3,Inferior,2.049,4.714
1,Rice,2.489,5.818
2,Rice,2.568,6.162
3,Rice,2.557,6.15
4,Rice,2.487,6.109
5,Rice,2.534,6.166
6,Rice,2.457,5.787
7,Rice,2.455,5.925
8,Rice,2.467,6.266
9,Rice,2.443,5.834
10,Rice,2.421,6.101
11,Rice,2.434,5.99
12,Rice,2.399,6.163
13,Rice,2.541,5.797
1,Break,2.28,2.773
14,Rice,2.48,6.181
15,Rice,2.301,5.993
16,Rice,2.481,6.284
17,Rice,2.235,6.158
2,Break,2.264,3.029
18,Rice,2.225,5.894
19,Rice,2.436,6.238
20,Rice,2.383,5.515
21,Rice,2.294,5.834
22,Rice,2.276,5.971
23,Rice,2.391,5.964
24,Rice,2.46,6.104
25,Rice,2.415,6.188
26,Rice,2.497,6.353
27,Rice,2.498,6.36
28,Rice,2.442,6.158
29,Rice,2.437,6.18
30,Rice,2.498,6.038
31,Rice,2.47,5.673
32,Rice,2.34,5.886
3,Break,2.376,2.894
33,Rice,2.366,5.89
34,Rice,2.265,5.753
35,Rice,2.362,5.954
36,Rice,2.519,6.223
4,Break,2.395,4.37
5,Break,2.244,3.196
6,Break,2.153,5.293
1,Inferior,2.291,6.038
7,Break,1.604,5.113
2,Inferior,2.159,4.741
8,Break,1.718,2.254
1,Rice,2.63,6.1
2,Rice,2.707,6.217
3,Rice,2.514,6.496
4,Rice,2.551,6.39
5,Rice,2.479,6.381
6,Rice,2.489,6.334
7,Rice,2.577,6.305
8,Rice,2.369,5.778
9,Rice,2.575,6.368
10,Rice,2.567,6.514
11,Rice,2.551,6.267
12,Rice,2.561,6.506
13,Rice,2.604,6.265
14,Rice,2.472,6.143
15,Rice,2.598,6.638
16,Rice,2.619,6.521
17,Rice,2.603,6.768
18,Rice,2.512,6.051
19,Rice,1.994,6.147
20,Rice,2.469,5.495
21,Rice,2.655,6.341
22,Rice,2.388,5.445
23,Rice,2.465,5.781
24,Rice,2.37,5.869
25,Rice,2.467,5.395
26,Rice,2.515,6.271
27,Rice,2.392,5.94
28,Rice,2.459,5.991
29,Rice,2.481,6.367
30,Rice,2.54,5.99
31,Rice,2.344,5.822
1,Inferior,2.435,6.14
32,Rice,2.565,6.47
33,Rice,2.383,5.848
34,Rice,2.413,6.196
1,Break,2.351,4.886
1,Rice,2.385,5.929
2,Rice,2.49,6.904
3,Rice,2.428,6.123
4,Rice,2.39,6.201
5,Rice,2.412,5.893
6,Rice,2.381,5.792
7,Rice,2.376,5.699
8,Rice,2.386,5.991
9,Rice,2.493,6.274
10,Rice,2.441,5.997
11,Rice,2.503,6.267
12,Rice,2.431,5.928
13,Rice,2.373,6.09
14,Rice,2.34,5.986
15,Rice,2.598,5.959
16,Rice,2.177,5.667
17,Rice,2.384,5.976
18,Rice,2.538,6.115
19,Rice,2.418,5.975
20,Rice,2.532,6.272
21,Rice,2.483,6.279
22,Rice,2.411,6.032
23,Rice,2.491,6.08
24,Rice,2.413,6.625
25,Rice,2.371,6.202
26,Rice,2.359,6.375
27,Rice,2.525,6.197
28,Rice,2.265,5.731
1,Rice,2.357,6.34
2,Rice,2.516,6.077
3,Rice,2.472,6.418
4,Rice,2.624,6.592
5,Rice,2.52,6.546
6,Rice,2.569,6.582
7,Rice,2.48,6.399
8,Rice,2.618,6.479
9,Rice,2.578,6.63
10,Rice,2.543,6.604
11,Rice,2.485,6.336
12,Rice,2.553,6.517
13,Rice,2.385,6.526
14,Rice,2.371,6.625
15,Rice,2.548,6.673
16,Rice,2.556,6.731
17,Rice,2.44,6.121
18,Rice,2.66,6.634
19,Rice,2.559,6.474
20,Rice,2.413,6.742
21,Rice,2.508,6.685
22,Rice,2.503,5.536
1,Break,2.36,4.402
1,Rice,2.365,5.922
2,Rice,2.252,5.667
3,Rice,2.288,6.061
4,Rice,2.404,5.977
5,Rice,2.457,5.876
6,Rice,2.306,5.785
7,Rice,2.266,5.981
8,Rice,2.374,6.235
9,Rice,2.523,6.137
10,Rice,2.372,6.177
11,Rice,2.343,5.909
12,Rice,2.507,6.44
13,Rice,2.29,6.361
14,Rice,1.967,6.059
15,Rice,2.169,5.643
16,Rice,2.206,5.468
17,Rice,2.326,6.201
18,Rice,2.427,5.784
19,Rice,2.39,5.964
20,Rice,2.345,5.978
21,Rice,2.328,5.99
22,Rice,2.377,5.856
23,Rice,2.328,5.948
24,Rice,2.307,6.011
25,Rice,2.329,6.126
26,Rice,2.308,6.314
27,Rice,2.159,5.651
28,Rice,2.385,5.964
29,Rice,2.244,5.897
30,Rice,1.898,5.566
31,Rice,2.452,6.5
32,Rice,1.997,5.438
33,Rice,2.166,5.263
34,Rice,2.158,5.936
35,Rice,1.815,6.109
1,Rice,2.574,5.929
2,Rice,2.581,6.157
3,Rice,2.634,6.314
4,Rice,2.618,6.171
5,Rice,2.601,5.947
6,Rice,2.807,6.352
7,Rice,2.856,6.359
8,Rice,2.635,5.638
9,Rice,2.647,6.239
10,Rice,2.76,6.519
11,Rice,2.652,6.211
12,Rice,2.54,6.075
13,Rice,2.771,6.326
14,Rice,2.814,6.133
15,Rice,2.574,6.002
16,Rice,2.619,5.986
17,Rice,2.921,6.241
18,Rice,2.593,6.238
19,Rice,2.481,6.122
20,Rice,2.573,6.021
21,Rice,2.289,5.823
22,Rice,2.73,6.181
23,Rice,2.591,6.17
24,Rice,2.629,6.312
25,Rice,2.582,6.138
26,Rice,2.508,5.924
27,Rice,2.502,5.944
28,Rice,2.45,5.75
29,Rice,2.505,5.858
30,Rice,2.631,5.962
31,Rice,2.455,5.779
32,Rice,2.586,6.204
33,Rice,2.434,5.99
