Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.421,7.048
2,Rice,2.129,7.475
3,Rice,2.306,7.329
4,Rice,2.318,7.116
5,Rice,2.279,7.1
6,Rice,2.404,6.846
7,Rice,2.434,7.108
8,Rice,2.372,6.917
9,Rice,2.322,7.054
10,Rice,2.1,7.248
11,Rice,2.252,6.708
12,Rice,2.294,7.092
13,Rice,2.351,6.891
14,Rice,2.284,6.894
15,Rice,2.016,6.469
1,Inferior,2.21,6.274
1,Break,2.22,5.676
16,Rice,2.084,7.508
17,Rice,2.244,7.175
2,Inferior,2.196,6.456
3,Inferior,2.223,5.736
1,Rice,2.321,7.123
2,Rice,2.326,6.81
3,Rice,2.402,6.707
4,Rice,2.379,7.006
5,Rice,2.304,7.077
6,Rice,2.216,6.983
7,Rice,2.282,7.051
8,Rice,2.278,7.271
9,Rice,2.099,6.956
10,Rice,2.087,6.878
11,Rice,2.336,7.006
12,Rice,2.215,7.211
13,Rice,2.331,6.799
14,Rice,2.242,7.142
15,Rice,2.436,6.728
16,Rice,2.055,7.556
17,Rice,2.201,6.785
18,Rice,2.131,7.344
19,Rice,2.301,7.181
20,Rice,2.265,6.879
21,Rice,2.223,6.866
22,Rice,2.099,7.122
23,Rice,2.245,7.108
24,Rice,2.14,6.58
25,Rice,2.363,6.794
26,Rice,2.365,6.829
27,Rice,2.02,7.176
28,Rice,2.262,6.62
29,Rice,2.286,6.94
30,Rice,1.849,6.413
1,Inferior,2.265,6.709
31,Rice,2.266,7.129
2,Inferior,2.177,6.576
32,Rice,2.25,6.929
3,Inferior,2.291,6.779
33,Rice,2.075,7.19
34,Rice,2.389,6.741
35,Rice,2.371,7.133
4,Inferior,2.137,7.04
1,Rice,2.201,6.977
2,Rice,2.199,6.863
3,Rice,2.261,7.221
4,Rice,2.329,6.441
5,Rice,2.428,6.961
6,Rice,2.378,6.582
7,Rice,2.348,7.003
8,Rice,2.23,6.746
9,Rice,2.268,7.327
10,Rice,2.268,6.799
11,Rice,2.224,6.905
12,Rice,2.324,7.074
13,Rice,2.279,7.068
14,Rice,2.297,6.514
15,Rice,2.291,7.392
16,Rice,2.241,7.351
17,Rice,2.316,6.948
18,Rice,2.392,6.646
19,Rice,2.316,6.735
20,Rice,2.133,6.869
21,Rice,2.275,7.439
22,Rice,2.205,7.318
23,Rice,2.321,7.318
24,Rice,2.074,7.123
25,Rice,2.326,6.939
26,Rice,2.306,7.047
27,Rice,2.311,6.85
28,Rice,2.259,6.937
29,Rice,2.222,7.237
1,Inferior,2.223,7.366
30,Rice,2.1,6.688
31,Rice,2.146,7.093
