Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.338,7.036
2,Rice,2.415,7.291
3,Rice,2.418,6.969
4,Rice,2.538,6.993
5,Rice,2.396,7.038
6,Rice,2.454,6.84
7,Rice,2.525,6.657
8,Rice,2.467,6.908
9,Rice,2.484,7.194
10,Rice,2.167,7.045
11,Rice,2.508,6.878
12,Rice,2.462,6.89
13,Rice,2.41,6.878
14,Rice,2.317,7.007
15,Rice,2.392,6.752
16,Rice,2.49,6.958
17,Rice,2.338,6.624
18,Rice,2.517,7.16
19,Rice,2.455,6.646
20,Rice,2.555,7.072
21,Rice,2.495,7.17
22,Rice,2.429,6.707
23,Rice,2.556,7.048
24,Rice,2.349,6.646
25,Rice,2.522,6.558
26,Rice,2.55,7.273
27,Rice,2.515,6.859
28,Rice,2.4,6.444
29,Rice,2.293,6.702
30,Rice,2.272,6.626
31,Rice,2.547,6.484
32,Rice,2.383,7.376
33,Rice,2.425,6.305
34,Rice,2.556,6.933
35,Rice,2.229,6.88
36,Rice,2.255,6.628
37,Rice,2.413,6.603
38,Rice,2.022,6.93
39,Rice,2.082,6.837
1,Inferior,2.259,5.934
40,Rice,2.316,6.497
2,Inferior,2.363,6.269
3,Inferior,2.126,6.362
4,Inferior,2.145,6.355
1,Break,1.342,1.839
1,Rice,2.371,6.437
2,Rice,2.299,6.333
3,Rice,2.306,6.367
4,Rice,2.216,6.559
5,Rice,2.372,6.474
6,Rice,2.364,6.665
7,Rice,2.426,6.452
8,Rice,2.391,6.674
9,Rice,2.095,7.175
10,Rice,2.293,6.631
11,Rice,2.224,6.165
12,Rice,2.226,6.651
13,Rice,2.285,6.73
14,Rice,2.431,6.646
15,Rice,2.401,6.288
16,Rice,2.274,6.08
17,Rice,2.277,6.07
18,Rice,2.234,6.887
19,Rice,2.29,6.903
20,Rice,2.318,6.473
21,Rice,2.293,6.583
22,Rice,2.28,6.545
23,Rice,2.394,6.701
24,Rice,2.228,6.319
25,Rice,2.3,6.774
26,Rice,2.367,6.072
27,Rice,2.325,6.597
28,Rice,2.343,6.328
29,Rice,2.217,6.472
30,Rice,2.327,6.418
31,Rice,2.245,6.23
32,Rice,2.182,6.442
33,Rice,2.487,6.131
1,Rice,2.32,6.84
2,Rice,2.367,6.74
3,Rice,2.459,6.619
4,Rice,2.476,6.402
5,Rice,2.446,6.758
6,Rice,2.397,6.914
7,Rice,2.438,6.632
8,Rice,2.418,6.643
9,Rice,2.497,6.542
10,Rice,2.451,6.953
11,Rice,2.49,6.951
12,Rice,2.137,6.737
13,Rice,2.327,7.143
14,Rice,2.375,6.809
15,Rice,2.56,6.469
16,Rice,2.457,6.462
17,Rice,2.298,6.789
18,Rice,2.361,7.042
19,Rice,2.429,6.577
20,Rice,2.39,6.869
21,Rice,2.429,6.275
22,Rice,2.52,6.598
23,Rice,2.475,6.578
24,Rice,2.381,6.829
25,Rice,2.403,6.776
26,Rice,2.361,6.664
27,Rice,2.215,6.777
28,Rice,2.337,6.745
29,Rice,2.411,6.693
30,Rice,2.332,6.373
31,Rice,2.412,6.856
32,Rice,2.518,7.109
33,Rice,2.396,6.559
34,Rice,2.148,6.906
35,Rice,2.371,6.837
36,Rice,2.379,6.632
37,Rice,2.14,6.367
38,Rice,2.396,6.934
39,Rice,2.488,6.271
1,Break,2.047,3.266
40,Rice,2.503,6.321
41,Rice,2.495,6.266
42,Rice,2.367,6.767
43,Rice,2.299,6.779
44,Rice,2.261,6.395
1,Inferior,2.108,6.296
2,Break,2.157,5.563
3,Break,2.095,4.018
45,Rice,2.223,6.413
2,Inferior,2.138,6.498
46,Rice,2.388,6.093
47,Rice,2.268,6.511
3,Inferior,2.195,5.783
48,Rice,2.44,6.239
4,Break,2.109,5.002
49,Rice,2.225,6.603
4,Inferior,2.204,6.584
1,Rice,2.561,7.1
2,Rice,2.405,6.851
3,Rice,2.351,7.138
4,Rice,2.418,6.854
5,Rice,2.48,6.791
