Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.01,5.766
2,Rice,2.044,5.922
3,Rice,1.999,6.006
4,Rice,2.1,6.235
5,Rice,1.907,5.774
6,Rice,1.914,6.101
7,Rice,2.119,5.938
8,Rice,2.11,5.867
9,Rice,2.215,6.38
10,Rice,2.138,6.138
11,Rice,2.132,6.333
12,Rice,2.14,5.869
13,Rice,2.122,5.98
14,Rice,2.053,5.863
15,Rice,2.037,6.093
16,Rice,2.095,6.096
17,Rice,1.823,6.156
18,Rice,2.074,6.08
19,Rice,2.051,5.766
20,Rice,1.922,6.058
21,Rice,2.12,6.008
22,Rice,2.133,5.908
23,Rice,2.146,5.935
24,Rice,1.766,5.867
25,Rice,2.105,6.11
26,Rice,2.068,5.852
27,Rice,1.839,5.88
28,Rice,2.04,5.997
29,Rice,2.053,6.202
30,Rice,1.799,5.842
1,Break,2.058,3.85
31,Rice,2.106,5.865
32,Rice,2.083,6.258
33,Rice,2.027,6.028
34,Rice,1.879,6.202
35,Rice,2.051,6.348
1,Inferior,2.054,5.973
36,Rice,2.028,5.935
1,Rice,1.997,6.127
2,Rice,1.936,6.076
3,Rice,2.062,5.723
4,Rice,2.021,5.792
5,Rice,2.08,5.762
6,Rice,2.04,6.058
7,Rice,2.039,6.049
8,Rice,2.032,5.884
9,Rice,1.825,6.163
10,Rice,1.991,5.658
11,Rice,2.001,5.684
12,Rice,1.973,5.743
13,Rice,2.03,6.124
14,Rice,2.14,5.897
15,Rice,2.125,5.484
16,Rice,2.118,5.659
17,Rice,2.007,5.656
18,Rice,2.118,5.877
19,Rice,1.93,5.995
20,Rice,1.829,5.891
21,Rice,2.055,5.548
22,Rice,2.069,5.779
23,Rice,2.014,5.859
24,Rice,2.026,5.673
25,Rice,1.852,5.321
26,Rice,2.03,6.08
27,Rice,1.858,5.586
28,Rice,2.026,6.101
29,Rice,1.895,6.082
30,Rice,2.021,5.608
31,Rice,2.15,5.638
32,Rice,2.011,5.682
33,Rice,1.905,5.525
34,Rice,2.072,5.93
35,Rice,1.981,6.117
36,Rice,1.908,5.765
1,Break,1.874,3.947
37,Rice,1.865,5.462
2,Break,2.006,3.921
3,Break,2.006,4.133
38,Rice,1.523,5.808
39,Rice,1.93,5.932
40,Rice,1.953,5.517
41,Rice,2.055,5.909
42,Rice,2.075,6.024
4,Break,1.99,4.339
43,Rice,2.092,5.604
44,Rice,1.814,5.444
45,Rice,1.888,4.157
5,Break,1.779,5.448
1,Rice,2.029,5.76
2,Rice,1.98,5.711
3,Rice,2.013,5.619
4,Rice,1.946,5.882
5,Rice,2.13,5.898
6,Rice,2.169,5.636
7,Rice,2.021,5.671
8,Rice,2.132,6.067
9,Rice,2.048,6.147
10,Rice,2.026,5.774
11,Rice,2.089,6.181
12,Rice,2.087,6.257
13,Rice,2.063,5.881
14,Rice,2.018,5.83
15,Rice,2.111,5.888
16,Rice,1.934,6.056
17,Rice,2.049,5.8
18,Rice,1.983,5.949
19,Rice,2.072,5.813
20,Rice,2.194,6.039
21,Rice,1.99,6.223
22,Rice,2.015,5.575
23,Rice,2.046,5.81
24,Rice,2.065,6.154
25,Rice,2.074,6.117
26,Rice,2.023,6.067
27,Rice,1.886,5.845
28,Rice,2.046,5.97
29,Rice,1.984,5.967
30,Rice,2.093,5.94
31,Rice,2.095,5.784
32,Rice,2.118,5.971
33,Rice,2.045,6.001
34,Rice,2.073,5.882
35,Rice,2.146,4.925
36,Rice,1.828,5.57
37,Rice,2.161,6.167
38,Rice,2.074,5.779
1,Rice,1.988,5.739
2,Rice,1.977,5.907
3,Rice,2.09,6.076
4,Rice,1.968,5.927
5,Rice,2.028,6.125
6,Rice,1.865,6.039
7,Rice,1.859,5.79
8,Rice,1.912,5.542
9,Rice,1.944,5.654
10,Rice,1.963,6.091
11,Rice,2.04,6.16
12,Rice,1.957,5.79
13,Rice,1.884,5.524
14,Rice,1.93,5.762
1,Break,1.88,3.538
15,Rice,2.011,5.948
16,Rice,1.803,6.099
17,Rice,1.952,5.776
1,Rice,2.144,6.006
2,Rice,1.922,5.423
3,Rice,2.079,5.901
4,Rice,2.098,5.677
5,Rice,2.003,5.8
6,Rice,2.15,5.598
7,Rice,2.049,6.113
8,Rice,2.027,5.752
9,Rice,2.007,6.1
10,Rice,2.054,5.866
11,Rice,1.947,6.011
12,Rice,2.12,5.656
13,Rice,2.071,5.774
14,Rice,2.125,5.912
15,Rice,1.976,5.317
16,Rice,1.953,5.639
17,Rice,2.156,6.041
18,Rice,2.119,6.16
19,Rice,2.125,6.015
20,Rice,2.089,5.74
21,Rice,2.137,6.13
22,Rice,1.965,5.865
23,Rice,1.99,5.842
24,Rice,2.116,5.817
25,Rice,2.102,6.041
26,Rice,2.107,5.726
27,Rice,1.972,5.642
28,Rice,1.926,5.736
29,Rice,2.048,5.823
30,Rice,2.092,5.836
31,Rice,1.858,5.673
1,Rice,2.039,6.109
2,Rice,2.011,5.673
3,Rice,2.122,6.458
4,Rice,1.922,5.802
5,Rice,2.01,5.574
6,Rice,1.963,5.684
7,Rice,1.968,5.937
8,Rice,1.944,5.862
9,Rice,1.977,6.059
10,Rice,2.07,5.91
11,Rice,2.059,6.232
12,Rice,2.114,5.742
13,Rice,1.863,5.863
14,Rice,1.995,5.672
15,Rice,1.821,5.562
16,Rice,1.91,5.933
17,Rice,2.029,3.952
18,Rice,2.01,6.02
19,Rice,1.988,5.977
20,Rice,2.016,5.999
21,Rice,2.116,5.702
